locus_tag	ftype	length_bp	gene	EC_number	COG	product
CEKBDPEJ_00001	rRNA	108				5S ribosomal RNA
CEKBDPEJ_00001	gene	108				
CEKBDPEJ_00002	rRNA	2908				23S ribosomal RNA
CEKBDPEJ_00002	gene	2908				
CEKBDPEJ_00003	rRNA	1556				16S ribosomal RNA
CEKBDPEJ_00003	gene	1556				
CEKBDPEJ_00004	tRNA	74				tRNA-Arg(acg)
CEKBDPEJ_00004	gene	74				
CEKBDPEJ_00005	tRNA	76				tRNA-Pro(tgg)
CEKBDPEJ_00005	gene	76				
CEKBDPEJ_00006	tRNA	75				tRNA-Ala(tgc)
CEKBDPEJ_00006	gene	75				
CEKBDPEJ_00007	tRNA	74				tRNA-Met(cat)
CEKBDPEJ_00007	gene	74				
CEKBDPEJ_00008	tRNA	74				tRNA-Met(cat)
CEKBDPEJ_00008	gene	74				
CEKBDPEJ_00009	tRNA	90				tRNA-Ser(tga)
CEKBDPEJ_00009	gene	90				
CEKBDPEJ_00010	tRNA	76				tRNA-Met(cat)
CEKBDPEJ_00010	gene	76				
CEKBDPEJ_00011	tRNA	76				tRNA-Asp(gtc)
CEKBDPEJ_00011	gene	76				
CEKBDPEJ_00012	tRNA	71				tRNA-Gly(tcc)
CEKBDPEJ_00012	gene	71				
CEKBDPEJ_00013	tRNA	74				tRNA-Ile(gat)
CEKBDPEJ_00013	gene	74				
CEKBDPEJ_00014	tRNA	74				tRNA-Glu(ttc)
CEKBDPEJ_00014	gene	74				
CEKBDPEJ_00015	CDS	1191	metK	2.5.1.6		S-adenosylmethionine synthetase
CEKBDPEJ_00015	gene	1191	metK			
CEKBDPEJ_00016	CDS	1479				major facilitator superfamily transporter
CEKBDPEJ_00016	gene	1479				
CEKBDPEJ_00017	CDS	789		3.1.1.3		esterase
CEKBDPEJ_00017	gene	789				
CEKBDPEJ_00018	CDS	564				rRNA methylase family protein
CEKBDPEJ_00018	gene	564				
CEKBDPEJ_00019	CDS	981				radical SAM protein family protein
CEKBDPEJ_00019	gene	981				
CEKBDPEJ_00020	CDS	657				PAP2 family protein
CEKBDPEJ_00020	gene	657				
CEKBDPEJ_00021	CDS	2514	leuS	6.1.1.4		leucyl-tRNA synthetase
CEKBDPEJ_00021	gene	2514	leuS			
CEKBDPEJ_00022	CDS	903		1.13.12.16	COG2070	Nitronate monooxygenase
CEKBDPEJ_00022	gene	903				
CEKBDPEJ_00023	CDS	1497		6.3.2.7		UDP-N-acetylmuramoylalanyl-D-glutamate--L- lysine ligase
CEKBDPEJ_00023	gene	1497				
CEKBDPEJ_00024	CDS	1638				polysaccharide biosynthesis family protein
CEKBDPEJ_00024	gene	1638				
CEKBDPEJ_00025	CDS	624	lysM_1			peptidoglycan-binding protein LysM
CEKBDPEJ_00025	gene	624	lysM_1			
CEKBDPEJ_00026	CDS	855		5.4.99.-		23S rRNA pseudouridine synthase D
CEKBDPEJ_00026	gene	855				
CEKBDPEJ_00027	CDS	2202		2.4.2.-		penicillin-binding protein, 1A family
CEKBDPEJ_00027	gene	2202				
CEKBDPEJ_00028	CDS	342				hypothetical protein
CEKBDPEJ_00028	gene	342				
CEKBDPEJ_00029	CDS	183				hypothetical protein
CEKBDPEJ_00029	gene	183				
CEKBDPEJ_00030	CDS	1182		3.1.3.16		Ser/Thr protein phosphatase family protein
CEKBDPEJ_00030	gene	1182				
CEKBDPEJ_00031	CDS	2631				hypothetical protein
CEKBDPEJ_00031	gene	2631				
CEKBDPEJ_00032	CDS	945		3.1.-.-		3'-5' exoribonuclease yhaM
CEKBDPEJ_00032	gene	945				
CEKBDPEJ_00033	CDS	510				hypothetical protein
CEKBDPEJ_00033	gene	510				
CEKBDPEJ_00034	CDS	2421		3.6.3.-		cation transporter E1-E2 family ATPase
CEKBDPEJ_00034	gene	2421				
CEKBDPEJ_00035	CDS	1494		5.4.2.8		phosphoglucomutase/phosphomannomutase family protein
CEKBDPEJ_00035	gene	1494				
CEKBDPEJ_00036	CDS	354				hypothetical protein
CEKBDPEJ_00036	gene	354				
CEKBDPEJ_00037	CDS	672				DNA-binding response regulator
CEKBDPEJ_00037	gene	672				
CEKBDPEJ_00038	CDS	1023		2.7.13.3		sensor histidine kinase
CEKBDPEJ_00038	gene	1023				
CEKBDPEJ_00039	CDS	864				glucose uptake protein
CEKBDPEJ_00039	gene	864				
CEKBDPEJ_00040	CDS	1191				tellurite resistance protein
CEKBDPEJ_00040	gene	1191				
CEKBDPEJ_00041	CDS	672				hypothetical protein
CEKBDPEJ_00041	gene	672				
CEKBDPEJ_00042	CDS	576		3.6.1.-		nudix hydrolase, YffH family
CEKBDPEJ_00042	gene	576				
CEKBDPEJ_00043	CDS	285				hypothetical protein
CEKBDPEJ_00043	gene	285				
CEKBDPEJ_00044	CDS	693		3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
CEKBDPEJ_00044	gene	693				
