locus_tag	ftype	length_bp	gene	EC_number	COG	product
GAKPLOIL_00001	CDS	384				hypothetical protein
GAKPLOIL_00001	gene	384				
GAKPLOIL_00002	CDS	960		2.7.1.107		diacylglycerol kinase catalytic subunit
GAKPLOIL_00002	gene	960				
GAKPLOIL_00003	CDS	507				integral membrane protein
GAKPLOIL_00003	gene	507				
GAKPLOIL_00004	CDS	1206	femB	2.3.2.18	COG2348	Aminoacyltransferase FemB
GAKPLOIL_00004	gene	1206	femB			
GAKPLOIL_00005	CDS	636				integral membrane protein
GAKPLOIL_00005	gene	636				
GAKPLOIL_00006	CDS	555	coaC	4.1.1.36		phosphopantothenoylcysteine decarboxylase
GAKPLOIL_00006	gene	555	coaC			
GAKPLOIL_00007	CDS	774		6.3.2.5		phosphopantothenate--cysteine ligase
GAKPLOIL_00007	gene	774				
GAKPLOIL_00008	CDS	993		1.6.5.-		YhdH/YhfP family quinone oxidoreductase
GAKPLOIL_00008	gene	993				
GAKPLOIL_00009	CDS	543				helix-turn-helix domain-containing protein
GAKPLOIL_00009	gene	543				
GAKPLOIL_00010	CDS	1086	potA	3.6.3.31		Spermidine/putrescine import ATP-binding protein PotA
GAKPLOIL_00010	gene	1086	potA			
GAKPLOIL_00011	CDS	807				spermidine/putrescine ABC superfamily ATP binding cassette transporter, membrane protein
GAKPLOIL_00011	gene	807				
GAKPLOIL_00012	CDS	837	potC_1			spermidine/putrescine transport system permease protein PotC
GAKPLOIL_00012	gene	837	potC_1			
GAKPLOIL_00013	CDS	1074				spermidine/putrescine-binding periplasmic protein PotD
GAKPLOIL_00013	gene	1074				
GAKPLOIL_00014	CDS	684				hypothetical protein
GAKPLOIL_00014	gene	684				
GAKPLOIL_00015	CDS	1293	gntP		COG2610	High-affinity gluconate transporter
GAKPLOIL_00015	gene	1293	gntP			
GAKPLOIL_00016	CDS	1149		2.7.1.31		glycerate kinase
GAKPLOIL_00016	gene	1149				
GAKPLOIL_00017	CDS	1014				hypothetical protein
GAKPLOIL_00017	gene	1014				
GAKPLOIL_00018	CDS	903		2.7.1.107		diacylglycerol kinase catalytic subunit
GAKPLOIL_00018	gene	903				
GAKPLOIL_00019	CDS	711				hypothetical protein
GAKPLOIL_00019	gene	711				
GAKPLOIL_00020	CDS	1710				Substrate binding domain of ABC-type glycine betaine transport system
GAKPLOIL_00020	gene	1710				
GAKPLOIL_00021	CDS	1191		3.6.3.32		glycine betaine transporter ATP-binding subunit
GAKPLOIL_00021	gene	1191				
GAKPLOIL_00022	CDS	633				GntR family transcriptional regulator
GAKPLOIL_00022	gene	633				
GAKPLOIL_00023	CDS	1947				ABC transporter ATP-binding protein
GAKPLOIL_00023	gene	1947				
GAKPLOIL_00024	CDS	651	rex1			redox-sensitive transcriptional regulator
GAKPLOIL_00024	gene	651	rex1			
GAKPLOIL_00025	CDS	654		3.4.-.-		CAAX amino terminal protease
GAKPLOIL_00025	gene	654				
GAKPLOIL_00026	CDS	177				hypothetical protein
GAKPLOIL_00026	gene	177				
GAKPLOIL_00027	CDS	285	groS			chaperonin GroS
GAKPLOIL_00027	gene	285	groS			
GAKPLOIL_00028	CDS	1626	groL			chaperonin GroL
GAKPLOIL_00028	gene	1626	groL			
GAKPLOIL_00029	CDS	720				hypothetical protein
GAKPLOIL_00029	gene	720				
GAKPLOIL_00030	CDS	711				hypothetical protein
GAKPLOIL_00030	gene	711				
GAKPLOIL_00031	CDS	1548				hypothetical protein
GAKPLOIL_00031	gene	1548				
GAKPLOIL_00032	CDS	411				cell wall teichoic acid glycosylation protein GtcA family protein
GAKPLOIL_00032	gene	411				
GAKPLOIL_00033	CDS	1485		2.4.2.11		Nicotinate phosphoribosyltransferase
GAKPLOIL_00033	gene	1485				
GAKPLOIL_00034	CDS	828	nadE	6.3.1.5		NH(3)-dependent NAD(+) synthetase
GAKPLOIL_00034	gene	828	nadE			
GAKPLOIL_00035	CDS	1806		3.6.3.3		cadmium-translocating P-type ATPase
GAKPLOIL_00035	gene	1806				
GAKPLOIL_00036	CDS	285				hypothetical protein
GAKPLOIL_00036	gene	285				
GAKPLOIL_00037	CDS	276		2.3.1.-		GNAT family acetyltransferase
GAKPLOIL_00037	gene	276				
GAKPLOIL_00038	CDS	237				preprotein translocase, SecG subunit
GAKPLOIL_00038	gene	237				
GAKPLOIL_00039	CDS	765		3.1.1.1		carboxylesterase
GAKPLOIL_00039	gene	765				
GAKPLOIL_00040	CDS	2370		3.1.-.-		ribonuclease R
GAKPLOIL_00040	gene	2370				
GAKPLOIL_00041	CDS	465	smpB			SsrA-binding protein
GAKPLOIL_00041	gene	465	smpB			
GAKPLOIL_00042	CDS	720	atpB	3.6.3.14		ATP synthase subunit C
GAKPLOIL_00042	gene	720	atpB			
GAKPLOIL_00043	CDS	222	atpE			ATP synthase subunit c
GAKPLOIL_00043	gene	222	atpE			
GAKPLOIL_00044	CDS	531	atpF	3.6.3.14		ATP synthase F0, B subunit
GAKPLOIL_00044	gene	531	atpF			
GAKPLOIL_00045	CDS	543	atpH	3.6.3.14		ATP synthase F1, delta subunit
GAKPLOIL_00045	gene	543	atpH			
GAKPLOIL_00046	CDS	1557	atpA	3.6.3.14		ATP synthase F1 subunit alpha
GAKPLOIL_00046	gene	1557	atpA			
GAKPLOIL_00047	CDS	909	atpG	3.6.3.14		ATP synthase F1 subunit gamma
GAKPLOIL_00047	gene	909	atpG			
GAKPLOIL_00048	CDS	1407	atpD	3.6.3.14		ATP synthase F1 subunit beta
GAKPLOIL_00048	gene	1407	atpD			
GAKPLOIL_00049	CDS	420	atpC	3.6.3.14		ATP synthase F1 subunit epsilon
GAKPLOIL_00049	gene	420	atpC			
GAKPLOIL_00050	CDS	237				membrane protein
GAKPLOIL_00050	gene	237				
GAKPLOIL_00051	CDS	1302	murA2	2.5.1.7		UDP-N-acetylglucosamine 1-carboxyvinyltransferase
GAKPLOIL_00051	gene	1302	murA2			
GAKPLOIL_00052	CDS	177				hypothetical protein
GAKPLOIL_00052	gene	177				
GAKPLOIL_00053	CDS	369		2.7.1.-		PTS system, glucitol/sorbitol-specific IIA component
GAKPLOIL_00053	gene	369				
GAKPLOIL_00054	CDS	1170				permease
GAKPLOIL_00054	gene	1170				
GAKPLOIL_00055	CDS	627		1.7.-.-		azoreductase
GAKPLOIL_00055	gene	627				
GAKPLOIL_00056	CDS	843				BglG family transcriptional antiterminator
GAKPLOIL_00056	gene	843				
GAKPLOIL_00057	CDS	1881		2.7.1.69		PTS system beta-glucoside-specific transporter subunit IIABC
GAKPLOIL_00057	gene	1881				
GAKPLOIL_00058	CDS	1446		3.2.1.86		6-phospho-beta-glucosidase
GAKPLOIL_00058	gene	1446				
GAKPLOIL_00059	CDS	570		2.7.4.8		guanylate kinase
GAKPLOIL_00059	gene	570				
GAKPLOIL_00060	CDS	678				TetR family transcriptional regulator
GAKPLOIL_00060	gene	678				
GAKPLOIL_00061	CDS	1728				ABC transporter ATP-binding protein/permease
GAKPLOIL_00061	gene	1728				
GAKPLOIL_00062	CDS	1869				ABC transporter ATP-binding protein/permease
GAKPLOIL_00062	gene	1869				
GAKPLOIL_00063	CDS	846				glyoxalase family protein
GAKPLOIL_00063	gene	846				
GAKPLOIL_00064	CDS	1044		3.5.2.6		Beta-lactamase
GAKPLOIL_00064	gene	1044				
GAKPLOIL_00065	CDS	972		5.3.1.8		mannose-6-phosphate isomerase
GAKPLOIL_00065	gene	972				
GAKPLOIL_00066	CDS	546				integral membrane protein
GAKPLOIL_00066	gene	546				
GAKPLOIL_00067	CDS	975		3.2.2.-		inosine-uridine preferring nucleoside hydrolase
GAKPLOIL_00067	gene	975				
GAKPLOIL_00068	CDS	693				CobB/CobQ-like glutamine amidotransferase domain protein
GAKPLOIL_00068	gene	693				
GAKPLOIL_00069	CDS	1353				Mur ligase middle domain-containing protein
GAKPLOIL_00069	gene	1353				
GAKPLOIL_00070	CDS	639	dauR		COG2964	Transcriptional regulator DauR
GAKPLOIL_00070	gene	639	dauR			
GAKPLOIL_00071	CDS	1335	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
GAKPLOIL_00071	gene	1335	ssnA			
GAKPLOIL_00072	CDS	1320	ygfK_1		COG0493	Putative oxidoreductase YgfK
GAKPLOIL_00072	gene	1320	ygfK_1			
GAKPLOIL_00073	CDS	1581	ygfK_2		COG0493	Putative oxidoreductase YgfK
GAKPLOIL_00073	gene	1581	ygfK_2			
GAKPLOIL_00074	CDS	1374	pyrC_1	3.5.2.3		Dihydroorotase
GAKPLOIL_00074	gene	1374	pyrC_1			
GAKPLOIL_00075	CDS	1194	dpaL	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
GAKPLOIL_00075	gene	1194	dpaL			
GAKPLOIL_00076	CDS	1311		3.4.13.-		Putative dipeptidase
GAKPLOIL_00076	gene	1311				
GAKPLOIL_00077	CDS	1194	ygeW	2.1.3.-	COG0078	Putative carbamoyltransferase YgeW
GAKPLOIL_00077	gene	1194	ygeW			
GAKPLOIL_00078	CDS	945	arcC_1	2.7.2.2		Carbamate kinase
GAKPLOIL_00078	gene	945	arcC_1			
GAKPLOIL_00079	CDS	381	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
GAKPLOIL_00079	gene	381	yabJ_1			
GAKPLOIL_00080	CDS	1320				xanthine permease
GAKPLOIL_00080	gene	1320				
GAKPLOIL_00081	CDS	360				hypothetical protein
GAKPLOIL_00081	gene	360				
GAKPLOIL_00082	CDS	1008	pucA	1.17.1.4	COG1975	putative xanthine dehydrogenase subunit A
GAKPLOIL_00082	gene	1008	pucA			
GAKPLOIL_00083	CDS	2574				hypothetical protein
GAKPLOIL_00083	gene	2574				
GAKPLOIL_00084	CDS	582	mobA_1	2.7.7.77		Molybdenum cofactor guanylyltransferase
GAKPLOIL_00084	gene	582	mobA_1			
GAKPLOIL_00085	CDS	1149	csd_1	2.8.1.7		cysteine desulfurase
GAKPLOIL_00085	gene	1149	csd_1			
GAKPLOIL_00086	CDS	1023	selD	2.7.9.3	COG0709	Selenide, water dikinase
GAKPLOIL_00086	gene	1023	selD			
GAKPLOIL_00087	CDS	588				hypothetical protein
GAKPLOIL_00087	gene	588				
GAKPLOIL_00088	CDS	258				hypothetical protein
GAKPLOIL_00088	gene	258				
GAKPLOIL_00089	CDS	756				hypothetical protein
GAKPLOIL_00089	gene	756				
GAKPLOIL_00090	CDS	831				hypothetical protein
GAKPLOIL_00090	gene	831				
GAKPLOIL_00091	CDS	465				flavodoxin
GAKPLOIL_00091	gene	465				
GAKPLOIL_00092	CDS	840		1.3.98.1		dihydroorotate dehydrogenase, electron transfer subunit
GAKPLOIL_00092	gene	840				
GAKPLOIL_00093	CDS	1419	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
GAKPLOIL_00093	gene	1419	gltD			
GAKPLOIL_00094	CDS	3534		1.2.7.-		pyruvate flavodoxin oxidoreductase subunit alpha
GAKPLOIL_00094	gene	3534				
GAKPLOIL_00095	CDS	1416				cation transporter
GAKPLOIL_00095	gene	1416				
GAKPLOIL_00096	CDS	1518		1.3.99.1		fumarate reductase flavoprotein subunit
GAKPLOIL_00096	gene	1518				
GAKPLOIL_00097	CDS	585	tdk	2.7.1.21		Thymidine kinase
GAKPLOIL_00097	gene	585	tdk			
GAKPLOIL_00098	CDS	1074	prfA			peptide chain release factor 1
GAKPLOIL_00098	gene	1074	prfA			
GAKPLOIL_00099	CDS	834	hemK			modification methylase HemK
GAKPLOIL_00099	gene	834	hemK			
GAKPLOIL_00100	CDS	1023				Sua5/YciO/YrdC/YwlC family protein
GAKPLOIL_00100	gene	1023				
GAKPLOIL_00101	CDS	1239	glyA	2.1.2.1		serine hydroxymethyltransferase
GAKPLOIL_00101	gene	1239	glyA			
GAKPLOIL_00102	CDS	630	upp	2.4.2.9		uracil phosphoribosyltransferase
GAKPLOIL_00102	gene	630	upp			
GAKPLOIL_00103	CDS	273				hypothetical protein
GAKPLOIL_00103	gene	273				
GAKPLOIL_00104	CDS	237				hypothetical protein
GAKPLOIL_00104	gene	237				
GAKPLOIL_00105	tRNA	73				tRNA-Thr(cgt)
GAKPLOIL_00105	gene	73				
GAKPLOIL_00106	CDS	327				Branched-chain amino acid transport protein
GAKPLOIL_00106	gene	327				
GAKPLOIL_00107	CDS	708	azlC_1			azaleucine resistance protein AzlC_1
GAKPLOIL_00107	gene	708	azlC_1			
GAKPLOIL_00108	CDS	552				helix-turn-helix domain-containing protein
GAKPLOIL_00108	gene	552				
GAKPLOIL_00109	CDS	1332				hypothetical protein
GAKPLOIL_00109	gene	1332				
GAKPLOIL_00110	CDS	4956				hypothetical protein
GAKPLOIL_00110	gene	4956				
GAKPLOIL_00111	CDS	702				hypothetical protein
GAKPLOIL_00111	gene	702				
GAKPLOIL_00112	CDS	1437				M protein trans-acting positive regulator
GAKPLOIL_00112	gene	1437				
GAKPLOIL_00113	CDS	1188				FtsW/RodA/SpoVE family cell cycle protein
GAKPLOIL_00113	gene	1188				
GAKPLOIL_00114	CDS	360				ArsC family protein
GAKPLOIL_00114	gene	360				
GAKPLOIL_00115	CDS	324				glycine cleavage H-protein
GAKPLOIL_00115	gene	324				
GAKPLOIL_00116	CDS	1038	metN2_1	3.6.3.-		ABC transporter ATP-binding protein
GAKPLOIL_00116	gene	1038	metN2_1			
GAKPLOIL_00117	CDS	687				ABC transporter permease
GAKPLOIL_00117	gene	687				
GAKPLOIL_00118	CDS	819	metQ_1			putative D-methionine-binding lipoprotein MetQ
GAKPLOIL_00118	gene	819	metQ_1			
GAKPLOIL_00119	CDS	816	uppS	2.5.1.31		undecaprenyl diphosphate synthase
GAKPLOIL_00119	gene	816	uppS			
GAKPLOIL_00120	CDS	801		2.7.7.41		phosphatidate cytidylyltransferase
GAKPLOIL_00120	gene	801				
GAKPLOIL_00121	CDS	1170	tarF	2.7.8.45	COG1887	Teichoic acid glycerol-phosphate transferase
GAKPLOIL_00121	gene	1170	tarF			
GAKPLOIL_00122	CDS	1467				hypothetical protein
GAKPLOIL_00122	gene	1467				
GAKPLOIL_00123	CDS	2511	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
GAKPLOIL_00123	gene	2511	arnC_1			
GAKPLOIL_00124	CDS	852				hypothetical protein
GAKPLOIL_00124	gene	852				
GAKPLOIL_00125	CDS	2454	murB_1	1.3.1.98		UDP-N-acetylenolpyruvoylglucosamine reductase
GAKPLOIL_00125	gene	2454	murB_1			
GAKPLOIL_00126	CDS	399				hypothetical protein
GAKPLOIL_00126	gene	399				
GAKPLOIL_00127	CDS	1140	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
GAKPLOIL_00127	gene	1140	glf			
GAKPLOIL_00128	CDS	1344	btuD_1	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
GAKPLOIL_00128	gene	1344	btuD_1			
GAKPLOIL_00129	CDS	813				ABC transporter
GAKPLOIL_00129	gene	813				
GAKPLOIL_00130	CDS	651				hypothetical protein
GAKPLOIL_00130	gene	651				
GAKPLOIL_00131	CDS	228				hypothetical protein
GAKPLOIL_00131	gene	228				
GAKPLOIL_00132	CDS	732	gph	3.1.3.18		Phosphoglycolate phosphatase
GAKPLOIL_00132	gene	732	gph			
GAKPLOIL_00133	CDS	744				hypothetical protein
GAKPLOIL_00133	gene	744				
GAKPLOIL_00134	CDS	810				hypothetical protein
GAKPLOIL_00134	gene	810				
GAKPLOIL_00135	CDS	1146				hypothetical protein
GAKPLOIL_00135	gene	1146				
GAKPLOIL_00136	CDS	1233				Putative virion core protein
GAKPLOIL_00136	gene	1233				
GAKPLOIL_00137	CDS	2043		2.4.1.129		penicillin binding protein transpeptidase domain protein
GAKPLOIL_00137	gene	2043				
GAKPLOIL_00138	CDS	720	yeaZ			universal bacterial protein YeaZ
GAKPLOIL_00138	gene	720	yeaZ			
GAKPLOIL_00139	CDS	543		2.3.1.128		ribosomal-protein-alanine acetyltransferase
GAKPLOIL_00139	gene	543				
GAKPLOIL_00140	CDS	465		2.3.1.128		ribosomal-protein-alanine acetyltransferase
GAKPLOIL_00140	gene	465				
GAKPLOIL_00141	CDS	1047	gcp	3.4.24.57		O-sialoglycoprotein endopeptidase
GAKPLOIL_00141	gene	1047	gcp			
GAKPLOIL_00142	CDS	1692	argS	6.1.1.19		arginyl-tRNA synthetase
GAKPLOIL_00142	gene	1692	argS			
GAKPLOIL_00143	CDS	501				HD domain-containing protein
GAKPLOIL_00143	gene	501				
GAKPLOIL_00144	CDS	324				hypothetical protein
GAKPLOIL_00144	gene	324				
GAKPLOIL_00145	CDS	279				hypothetical protein
GAKPLOIL_00145	gene	279				
GAKPLOIL_00146	CDS	2286				hypothetical protein
GAKPLOIL_00146	gene	2286				
GAKPLOIL_00147	CDS	144				hypothetical protein
GAKPLOIL_00147	gene	144				
GAKPLOIL_00148	CDS	1251		2.4.1.336	COG1215	Beta-monoglucosyldiacylglycerol synthase
GAKPLOIL_00148	gene	1251				
GAKPLOIL_00149	CDS	1266				voltage-gated chloride channel family protein
GAKPLOIL_00149	gene	1266				
GAKPLOIL_00150	CDS	279				hypothetical protein
GAKPLOIL_00150	gene	279				
GAKPLOIL_00151	CDS	783		3.1.3.25		inositol monophosphatase family protein
GAKPLOIL_00151	gene	783				
GAKPLOIL_00152	CDS	1836	typA			GTP-binding protein TypA/BipA
GAKPLOIL_00152	gene	1836	typA			
GAKPLOIL_00153	CDS	1770	recQ			ATP-dependent DNA helicase RecQ
GAKPLOIL_00153	gene	1770	recQ			
GAKPLOIL_00154	CDS	306				hypothetical protein
GAKPLOIL_00154	gene	306				
GAKPLOIL_00155	CDS	1209	ftsW			cell cycle protein FtsW
GAKPLOIL_00155	gene	1209	ftsW			
GAKPLOIL_00156	CDS	3429		6.4.1.1		pyruvate carboxylase
GAKPLOIL_00156	gene	3429				
GAKPLOIL_00157	CDS	1125				hypothetical protein
GAKPLOIL_00157	gene	1125				
GAKPLOIL_00158	CDS	435				hypothetical protein
GAKPLOIL_00158	gene	435				
GAKPLOIL_00159	CDS	351				hypothetical protein
GAKPLOIL_00159	gene	351				
GAKPLOIL_00160	CDS	555		2.1.1.-		RsmD family RNA methyltransferase
GAKPLOIL_00160	gene	555				
GAKPLOIL_00161	CDS	492	coaD	2.7.7.3		Phosphopantetheine adenylyltransferase, CoaD
GAKPLOIL_00161	gene	492	coaD			
GAKPLOIL_00162	CDS	1053				PDZ domain protein
GAKPLOIL_00162	gene	1053				
GAKPLOIL_00163	CDS	645	comEA			competence protein, ComEA
GAKPLOIL_00163	gene	645	comEA			
GAKPLOIL_00164	CDS	504		3.5.-.-		ComE operon protein 2
GAKPLOIL_00164	gene	504				
GAKPLOIL_00165	CDS	2130				DNA internalization-related competence protein ComEC/Rec2
GAKPLOIL_00165	gene	2130				
GAKPLOIL_00166	CDS	1029		2.7.7.7		DNA polymerase III subunit delta
GAKPLOIL_00166	gene	1029				
GAKPLOIL_00167	CDS	942		1.1.1.169		2-dehydropantoate 2-reductase
GAKPLOIL_00167	gene	942				
GAKPLOIL_00168	CDS	537				hypothetical protein
GAKPLOIL_00168	gene	537				
GAKPLOIL_00169	CDS	252	rpsT			30S ribosomal protein S20
GAKPLOIL_00169	gene	252	rpsT			
GAKPLOIL_00170	CDS	1014				hypothetical protein
GAKPLOIL_00170	gene	1014				
GAKPLOIL_00171	CDS	624				hypothetical protein
GAKPLOIL_00171	gene	624				
GAKPLOIL_00172	CDS	786				protein YebG
GAKPLOIL_00172	gene	786				
GAKPLOIL_00173	CDS	831	uppP	3.6.1.27		undecaprenyl-diphosphatase
GAKPLOIL_00173	gene	831	uppP			
GAKPLOIL_00174	CDS	495		2.7.1.69		PTS system, sugar-specific IIBC component
GAKPLOIL_00174	gene	495				
GAKPLOIL_00175	CDS	1110				alpha3-beta1 integrin-binding family protein
GAKPLOIL_00175	gene	1110				
GAKPLOIL_00176	CDS	891	murQ_1	4.2.1.126		N-acetylmuramic acid 6-phosphate etherase
GAKPLOIL_00176	gene	891	murQ_1			
GAKPLOIL_00177	CDS	1455		2.7.1.69		PTS system, sugar-specific IIBC component
GAKPLOIL_00177	gene	1455				
GAKPLOIL_00178	CDS	849				RpiR family transcriptional regulator
GAKPLOIL_00178	gene	849				
GAKPLOIL_00179	CDS	711		5.4.2.1		phosphoglycerate mutase family protein
GAKPLOIL_00179	gene	711				
GAKPLOIL_00180	CDS	627				Metallo-beta-lactamase superfamily protein
GAKPLOIL_00180	gene	627				
GAKPLOIL_00181	CDS	1386	guaD	3.5.4.3	COG0402	Guanine deaminase
GAKPLOIL_00181	gene	1386	guaD			
GAKPLOIL_00182	CDS	1332				xanthine permease
GAKPLOIL_00182	gene	1332				
GAKPLOIL_00183	CDS	978	guaC	1.7.1.7		guanosine 5'-monophosphate oxidoreductase
GAKPLOIL_00183	gene	978	guaC			
GAKPLOIL_00184	CDS	333				PadR family transcriptional regulator
GAKPLOIL_00184	gene	333				
GAKPLOIL_00185	CDS	1029				hypothetical protein
GAKPLOIL_00185	gene	1029				
GAKPLOIL_00186	CDS	1452				GntR family transcriptional regulator
GAKPLOIL_00186	gene	1452				
