locus_tag	ftype	length_bp	gene	EC_number	COG	product
PIGACDJJ_00001	CDS	381				glyoxalase family protein
PIGACDJJ_00001	gene	381				
PIGACDJJ_00002	CDS	1392				sodium/dicarboxylate symporter family protein
PIGACDJJ_00002	gene	1392				
PIGACDJJ_00003	CDS	336				hypothetical protein
PIGACDJJ_00003	gene	336				
PIGACDJJ_00004	CDS	387				hypothetical protein
PIGACDJJ_00004	gene	387				
PIGACDJJ_00005	CDS	432				hypothetical protein
PIGACDJJ_00005	gene	432				
PIGACDJJ_00006	CDS	639		2.7.1.145		deoxynucleoside kinase
PIGACDJJ_00006	gene	639				
PIGACDJJ_00007	CDS	699	pnuC			nicotinamide mononucleotide transporter PnuC
PIGACDJJ_00007	gene	699	pnuC			
PIGACDJJ_00008	CDS	1587	gatA_1	6.3.5.-		glutamyl-tRNA(Gln) amidotransferase subunit A
PIGACDJJ_00008	gene	1587	gatA_1			
PIGACDJJ_00009	CDS	930	arcC_1	2.7.2.2		Carbamate kinase
PIGACDJJ_00009	gene	930	arcC_1			
PIGACDJJ_00010	CDS	1098	aguA	3.5.3.12	COG2957	Putative agmatine deiminase
PIGACDJJ_00010	gene	1098	aguA			
PIGACDJJ_00011	CDS	1377				amino acid permease family protein
PIGACDJJ_00011	gene	1377				
PIGACDJJ_00012	CDS	1020	arcB_1	2.1.3.3		ornithine carbamoyltransferase
PIGACDJJ_00012	gene	1020	arcB_1			
PIGACDJJ_00013	CDS	966	malT			HTH-type transcriptional regulator MalT
PIGACDJJ_00013	gene	966	malT			
PIGACDJJ_00014	CDS	318				thioredoxin domain-containing protein
PIGACDJJ_00014	gene	318				
PIGACDJJ_00015	CDS	129				hypothetical protein
PIGACDJJ_00015	gene	129				
PIGACDJJ_00016	CDS	1374		2.1.1.190		23S rRNA (uracil-5-)-methyltransferase
PIGACDJJ_00016	gene	1374				
PIGACDJJ_00017	CDS	1089		2.7.1.107		Diacylglycerol kinase
PIGACDJJ_00017	gene	1089				
PIGACDJJ_00018	CDS	1431	gatB	6.3.5.-		aspartyl/glutamyl-tRNA amidotransferase subunit B
PIGACDJJ_00018	gene	1431	gatB			
PIGACDJJ_00019	CDS	1470	gatA_2	6.3.5.-		glutamyl-tRNA(Gln) amidotransferase subunit A
PIGACDJJ_00019	gene	1470	gatA_2			
PIGACDJJ_00020	CDS	306	gatC	6.3.5.-		aspartyl/glutamyl-tRNA amidotransferase subunit C
PIGACDJJ_00020	gene	306	gatC			
PIGACDJJ_00021	CDS	2031	ligA	6.5.1.2		NAD-dependent DNA ligase
PIGACDJJ_00021	gene	2031	ligA			
PIGACDJJ_00022	CDS	2259		3.6.1.-		ATP-dependent DNA helicase
PIGACDJJ_00022	gene	2259				
PIGACDJJ_00023	CDS	1560				voltage-gated cchloride transporter, chloride channel family protein
PIGACDJJ_00023	gene	1560				
PIGACDJJ_00024	CDS	753				DeoR-like helix-turn-helix protein
PIGACDJJ_00024	gene	753				
PIGACDJJ_00025	CDS	918		2.7.1.56		hexose kinase, 1-phosphofructokinase family protein
PIGACDJJ_00025	gene	918				
PIGACDJJ_00026	CDS	1923		2.7.1.69		PTS system fructose-specific transporter subunit IIABC
PIGACDJJ_00026	gene	1923				
PIGACDJJ_00027	CDS	663				hypothetical protein
PIGACDJJ_00027	gene	663				
PIGACDJJ_00028	CDS	1284	tig			trigger factor
PIGACDJJ_00028	gene	1284	tig			
PIGACDJJ_00029	CDS	2286				hypothetical protein
PIGACDJJ_00029	gene	2286				
PIGACDJJ_00030	CDS	738				hypothetical protein
PIGACDJJ_00030	gene	738				
PIGACDJJ_00031	CDS	1035				cell wall surface anchor family protein
PIGACDJJ_00031	gene	1035				
PIGACDJJ_00032	CDS	1728	ptsI	2.7.3.9		Phosphoenolpyruvate-protein phosphotransferase
PIGACDJJ_00032	gene	1728	ptsI			
PIGACDJJ_00033	CDS	267	ptsH	2.7.11.-		phosphocarrier protein HPr
PIGACDJJ_00033	gene	267	ptsH			
PIGACDJJ_00034	CDS	192				hypothetical protein
PIGACDJJ_00034	gene	192				
PIGACDJJ_00035	CDS	2241	clpE			UvrB/UvrC protein/AAA ATPase
PIGACDJJ_00035	gene	2241	clpE			
PIGACDJJ_00036	CDS	315				hypothetical protein
PIGACDJJ_00036	gene	315				
PIGACDJJ_00037	CDS	1071				hypothetical protein
PIGACDJJ_00037	gene	1071				
PIGACDJJ_00038	CDS	648				membrane protein
PIGACDJJ_00038	gene	648				
PIGACDJJ_00039	CDS	444				hypothetical protein
PIGACDJJ_00039	gene	444				
PIGACDJJ_00040	CDS	1575	prfC			peptide chain release factor 3
