locus_tag	ftype	length_bp	gene	EC_number	COG	product
IBJBGECL_00001	CDS	1497	lysS	6.1.1.6		lysyl-tRNA synthetase
IBJBGECL_00001	gene	1497	lysS			
IBJBGECL_00002	CDS	999		1.-.-.-		tRNA-dihydrouridine synthase
IBJBGECL_00002	gene	999				
IBJBGECL_00003	CDS	897	hslO			chaperonin HslO
IBJBGECL_00003	gene	897	hslO			
IBJBGECL_00004	CDS	2157	hflB	3.4.24.-		ATP-dependent metalloprotease
IBJBGECL_00004	gene	2157	hflB			
IBJBGECL_00005	CDS	546	hpt	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
IBJBGECL_00005	gene	546	hpt			
IBJBGECL_00006	CDS	1389		6.3.4.-		tRNA(Ile)-lysidine synthase
IBJBGECL_00006	gene	1389				
IBJBGECL_00007	CDS	480				S1 RNA binding domain-containing protein
IBJBGECL_00007	gene	480				
IBJBGECL_00008	CDS	480				septum formation initiator
IBJBGECL_00008	gene	480				
IBJBGECL_00009	CDS	264				S4 RNA-binding domain-containing protein
IBJBGECL_00009	gene	264				
IBJBGECL_00010	CDS	1590				polysaccharide biosynthesis family protein
IBJBGECL_00010	gene	1590				
IBJBGECL_00011	CDS	3540		3.6.1.-		transcription-repair coupling factor
IBJBGECL_00011	gene	3540				
IBJBGECL_00012	CDS	567		3.1.1.29		Peptidyl-tRNA hydrolase
IBJBGECL_00012	gene	567				
IBJBGECL_00013	CDS	993	ldh1	1.1.1.27		L-lactate dehydrogenase
IBJBGECL_00013	gene	993	ldh1			
IBJBGECL_00014	CDS	1491		1.2.1.27		methylmalonate-semialdehyde dehydrogenase
IBJBGECL_00014	gene	1491				
IBJBGECL_00015	CDS	1506				hypothetical protein
IBJBGECL_00015	gene	1506				
IBJBGECL_00016	CDS	513				transcriptional regulator
IBJBGECL_00016	gene	513				
IBJBGECL_00017	CDS	846		2.3.1.79		maltose O-acetyltransferase
IBJBGECL_00017	gene	846				
IBJBGECL_00018	CDS	714		3.5.1.-		NAD-dependent deacetylase
IBJBGECL_00018	gene	714				
IBJBGECL_00019	CDS	297				hypothetical protein
IBJBGECL_00019	gene	297				
IBJBGECL_00020	CDS	1584				amino acid ABC transporter permease
IBJBGECL_00020	gene	1584				
IBJBGECL_00021	CDS	741		3.6.3.-		amino acid ABC transporter ATP-binding protein
IBJBGECL_00021	gene	741				
IBJBGECL_00022	CDS	570		4.1.1.18		putative lysine decarboxylase
IBJBGECL_00022	gene	570				
IBJBGECL_00023	CDS	492	speG	2.3.1.57		Spermidine N(1)-acetyltransferase
IBJBGECL_00023	gene	492	speG			
IBJBGECL_00024	CDS	1356				branched-chain amino acid transport system II carrier protein
IBJBGECL_00024	gene	1356				
IBJBGECL_00025	CDS	312				hypothetical protein
IBJBGECL_00025	gene	312				
IBJBGECL_00026	CDS	750		5.4.99.12		tRNA pseudouridine synthase A
IBJBGECL_00026	gene	750				
IBJBGECL_00027	CDS	798	cbiQ			cobalt transport family protein
IBJBGECL_00027	gene	798	cbiQ			
IBJBGECL_00028	CDS	870	cbiO_1	3.6.3.-		cobalt import ATP-binding protein CbiO 2
IBJBGECL_00028	gene	870	cbiO_1			
IBJBGECL_00029	CDS	840	cbiO_2	3.6.3.-		cobalt import ATP-binding protein CbiO
IBJBGECL_00029	gene	840	cbiO_2			
IBJBGECL_00030	CDS	1176		3.4.-.-		peptidase M20D
IBJBGECL_00030	gene	1176				
IBJBGECL_00031	CDS	1200				hypothetical protein
IBJBGECL_00031	gene	1200				
IBJBGECL_00032	CDS	384	rplQ			50S ribosomal protein L17
IBJBGECL_00032	gene	384	rplQ			
IBJBGECL_00033	CDS	939	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
IBJBGECL_00033	gene	939	rpoA			
IBJBGECL_00034	CDS	390	rpsK			30S ribosomal protein S11
IBJBGECL_00034	gene	390	rpsK			
IBJBGECL_00035	CDS	366	rpsM			30S ribosomal protein S13
IBJBGECL_00035	gene	366	rpsM			
IBJBGECL_00036	CDS	117				50S ribosomal protein L36
IBJBGECL_00036	gene	117				
IBJBGECL_00037	CDS	219	infA			translation initiation factor IF-1
IBJBGECL_00037	gene	219	infA			
IBJBGECL_00038	CDS	651	adk	2.7.4.3		adenylate kinase
IBJBGECL_00038	gene	651	adk			
IBJBGECL_00039	CDS	1299	secY			preprotein translocase subunit SecY
IBJBGECL_00039	gene	1299	secY			
IBJBGECL_00040	CDS	441	rplO			50S ribosomal protein L15
IBJBGECL_00040	gene	441	rplO			
IBJBGECL_00041	CDS	180	rpmD			50S ribosomal protein L30
IBJBGECL_00041	gene	180	rpmD			
IBJBGECL_00042	CDS	501	rpsE			30S ribosomal protein S5
IBJBGECL_00042	gene	501	rpsE			
IBJBGECL_00043	CDS	357	rplR			50S ribosomal protein L18
IBJBGECL_00043	gene	357	rplR			
IBJBGECL_00044	CDS	537	rplF			50S ribosomal protein L6
IBJBGECL_00044	gene	537	rplF			
IBJBGECL_00045	CDS	399	rpsH			30S ribosomal protein S8
IBJBGECL_00045	gene	399	rpsH			
IBJBGECL_00046	CDS	186	rpsZ			30S ribosomal protein S14
IBJBGECL_00046	gene	186	rpsZ			
IBJBGECL_00047	CDS	540	rplE			50S ribosomal protein L5
IBJBGECL_00047	gene	540	rplE			
IBJBGECL_00048	CDS	312	rplX			50S ribosomal protein L24
IBJBGECL_00048	gene	312	rplX			
IBJBGECL_00049	CDS	369	rplN			50S ribosomal protein L14
IBJBGECL_00049	gene	369	rplN			
IBJBGECL_00050	CDS	267	rpsQ			30S ribosomal protein S17
IBJBGECL_00050	gene	267	rpsQ			
IBJBGECL_00051	CDS	189	rpmC			50S ribosomal protein L29
IBJBGECL_00051	gene	189	rpmC			
IBJBGECL_00052	CDS	435	rplP			50S ribosomal protein L16
IBJBGECL_00052	gene	435	rplP			
IBJBGECL_00053	CDS	657	rpsC			30S ribosomal protein S3
IBJBGECL_00053	gene	657	rpsC			
IBJBGECL_00054	CDS	348	rplV			50S ribosomal protein L22
IBJBGECL_00054	gene	348	rplV			
IBJBGECL_00055	CDS	279	rpsS			30S ribosomal protein S19
IBJBGECL_00055	gene	279	rpsS			
IBJBGECL_00056	CDS	831	rplB			50S ribosomal protein L2
IBJBGECL_00056	gene	831	rplB			
IBJBGECL_00057	CDS	291	rplW			50S ribosomal protein L23
IBJBGECL_00057	gene	291	rplW			
IBJBGECL_00058	CDS	624	rplD			50S ribosomal protein L4
IBJBGECL_00058	gene	624	rplD			
IBJBGECL_00059	CDS	630	rplC			50S ribosomal protein L3
IBJBGECL_00059	gene	630	rplC			
IBJBGECL_00060	CDS	309	rpsJ			30S ribosomal protein S10
IBJBGECL_00060	gene	309	rpsJ			
IBJBGECL_00061	CDS	1167		2.1.1.79		cyclopropane-fatty-acyl-phospholipid synthase
IBJBGECL_00061	gene	1167				
IBJBGECL_00062	CDS	825		2.7.4.7		phosphomethylpyrimidine kinase
IBJBGECL_00062	gene	825				
IBJBGECL_00063	CDS	1188	tuf			elongation factor Tu
IBJBGECL_00063	gene	1188	tuf			
IBJBGECL_00064	CDS	2082	fusA			translation elongation factor G
IBJBGECL_00064	gene	2082	fusA			
IBJBGECL_00065	CDS	471	rpsG			30S ribosomal protein S7
IBJBGECL_00065	gene	471	rpsG			
IBJBGECL_00066	CDS	414	rpsL			30S ribosomal protein S12
IBJBGECL_00066	gene	414	rpsL			
IBJBGECL_00067	CDS	681	rpiA	5.3.1.6		ribose 5-phosphate isomerase A
IBJBGECL_00067	gene	681	rpiA			
IBJBGECL_00068	CDS	576				resolvase family site-specific recombinase
IBJBGECL_00068	gene	576				
IBJBGECL_00069	CDS	687	gpmA	5.4.2.1		phosphoglycerate mutase
IBJBGECL_00069	gene	687	gpmA			
IBJBGECL_00070	CDS	1188		1.1.1.1		aldehyde-alcohol dehydrogenase
IBJBGECL_00070	gene	1188				
IBJBGECL_00071	CDS	1005	fhuG			ferrichrome transport system permease FhuG
IBJBGECL_00071	gene	1005	fhuG			
IBJBGECL_00072	CDS	1011	fhuB_1			ferrichrome transport system permease FhuB
IBJBGECL_00072	gene	1011	fhuB_1			
IBJBGECL_00073	CDS	801	fhuC			ferrichrome transport ATP-binding protein FhuC
IBJBGECL_00073	gene	801	fhuC			
IBJBGECL_00074	CDS	939				periplasmic binding protein
IBJBGECL_00074	gene	939				
IBJBGECL_00075	CDS	708		2.4.2.1		purine nucleoside phosphorylase
IBJBGECL_00075	gene	708				
IBJBGECL_00076	CDS	819		2.4.2.1		purine nucleoside phosphorylase
IBJBGECL_00076	gene	819				
IBJBGECL_00077	CDS	1167	deoB	5.4.2.7		phosphopentomutase
IBJBGECL_00077	gene	1167	deoB			
IBJBGECL_00078	CDS	594				integral membrane protein
IBJBGECL_00078	gene	594				
IBJBGECL_00079	CDS	954				ABC transporter permease
IBJBGECL_00079	gene	954				
IBJBGECL_00080	CDS	1134				ABC transporter permease
IBJBGECL_00080	gene	1134				
IBJBGECL_00081	CDS	1569	yufO			ABC transporter ATP-binding protein
IBJBGECL_00081	gene	1569	yufO			
IBJBGECL_00082	CDS	1086				Basic membrane lipopprotein
IBJBGECL_00082	gene	1086				
IBJBGECL_00083	CDS	1074				Basic membrane lipopprotein
IBJBGECL_00083	gene	1074				
