locus_tag	ftype	length_bp	gene	EC_number	COG	product
KEHMHFOH_00001	CDS	1494		2.7.7.12		galactose-1-phosphate uridylyltransferase
KEHMHFOH_00002	CDS	1005				LacI family transcriptional regulator
KEHMHFOH_00003	CDS	495				hypothetical protein
KEHMHFOH_00004	CDS	264				hypothetical protein
KEHMHFOH_00005	CDS	507				hypothetical protein
KEHMHFOH_00006	CDS	441		2.3.1.-		acetyltransferase, GNAT family
KEHMHFOH_00007	CDS	1155				major facilitator superfamily transporter
KEHMHFOH_00008	CDS	1317		2.7.7.7		DNA directed DNA polymerase
KEHMHFOH_00009	CDS	390				hypothetical protein
KEHMHFOH_00010	CDS	183				hypothetical protein
KEHMHFOH_00011	CDS	306				hypothetical protein
KEHMHFOH_00012	CDS	432	uspA_1			universal stress protein UspA
KEHMHFOH_00013	CDS	243				hypothetical protein
KEHMHFOH_00014	CDS	447	bltD	2.3.1.57	COG0454	Spermine/spermidine acetyltransferase
KEHMHFOH_00015	CDS	714				hypothetical protein
KEHMHFOH_00016	CDS	396				hypothetical protein
KEHMHFOH_00017	CDS	1422				M protein trans-acting positive regulator
KEHMHFOH_00018	CDS	3312				von Willebrand factor type A domain-containing protein
KEHMHFOH_00019	CDS	1431				LPXTG-motif protein cell wall anchor domain protein
KEHMHFOH_00020	CDS	1884				LPXTG-motif protein cell wall anchor domain protein
KEHMHFOH_00021	CDS	855		3.4.-.-		peptidase C60
KEHMHFOH_00022	CDS	294				hypothetical protein
KEHMHFOH_00023	CDS	204				hypothetical protein
KEHMHFOH_00024	CDS	1539				hypothetical protein
KEHMHFOH_00025	CDS	3018				hypothetical protein
KEHMHFOH_00026	CDS	468				hypothetical protein
KEHMHFOH_00027	CDS	675				hypothetical protein
KEHMHFOH_00028	CDS	312				hypothetical protein
KEHMHFOH_00029	CDS	3033				hypothetical protein
KEHMHFOH_00030	CDS	450				hypothetical protein
KEHMHFOH_00031	CDS	93				hypothetical protein
KEHMHFOH_00032	CDS	1767				hypothetical protein
KEHMHFOH_00033	tmRNA	364	ssrA			transfer-messenger RNA, SsrA
KEHMHFOH_00034	CDS	306				hypothetical protein
KEHMHFOH_00035	CDS	2025				hypothetical protein
KEHMHFOH_00036	CDS	1596	btuD_1	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
KEHMHFOH_00037	CDS	735		2.1.1.-		methyltransferase
KEHMHFOH_00038	CDS	402				hypothetical protein
KEHMHFOH_00039	CDS	1353				amino acid permease
KEHMHFOH_00040	CDS	186				hypothetical protein
KEHMHFOH_00041	CDS	306				hypothetical protein
KEHMHFOH_00042	CDS	762	lutA		COG0247	Lactate utilization protein A
