#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
data/samples/OG1RF.fasta	NC_017316.1	88632	94595	fss1	1-5964/5964	===============	0/0	100.00	98.79	vfdb	NP_813892	vfdb~~~fss1~~~NP_813892 (fss1) Enterococcus faecalis surface protein Fss1 fibrinogen binding protein [Fibrinogen binding protein (AI271)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	579274	582288	EF0818	1-3015/3015	===============	0/0	100.00	99.27	vfdb	NP_814561	vfdb~~~EF0818~~~NP_814561 (EF0818) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	714834	715844	bopD	1-1011/1011	===============	0/0	100.00	99.21	vfdb	NP_814691	vfdb~~~bopD~~~NP_814691 (bopD) sugar-binding transcriptional regulator LacI family [BopD (VF0362)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	906392	909703	ebpA	1-3312/3312	===============	0/0	100.00	99.16	vfdb	NP_814821	vfdb~~~ebpA~~~NP_814821 (ebpA) endocarditis and biofilm-associated pilus tip protein EbpA [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	909707	911137	ebpB	1-1431/1431	===============	0/0	100.00	99.02	vfdb	NP_814822	vfdb~~~ebpB~~~NP_814822 (ebpB) endocarditis and biofilm-associated pilus minor subunit EbpB [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	911134	913017	ebpC	1-1878/1878	========/======	1/6	100.00	98.99	vfdb	NP_814823	vfdb~~~ebpC~~~NP_814823 (ebpC) endocarditis and biofilm-associated pilus major subunit EbpC [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	913111	913965	srtC	1-855/855	===============	0/0	100.00	99.42	vfdb	NP_814824	vfdb~~~srtC~~~NP_814824 (srtC) sortase [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	917047	919071	ace	1-2025/2025	===============	0/0	100.00	97.53	vfdb	NP_814829	vfdb~~~ace~~~NP_814829 (ace) collagen adhesin protein [Ace (VF0355)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	1586608	1587462	sprE	1-855/855	===============	0/0	100.00	98.48	vfdb	NP_815515	vfdb~~~sprE~~~NP_815515 (sprE) serine proteinase V8 family [SprE (VF0358)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	1587511	1589043	gelE	1-1533/1533	===============	0/0	100.00	98.69	vfdb	NP_815516	vfdb~~~gelE~~~NP_815516 (gelE) coccolysin [Gelatinase (VF0357)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	1589278	1590621	fsrC	1-1344/1344	===============	0/0	100.00	99.18	vfdb	NP_815517	vfdb~~~fsrC~~~NP_815517 (fsrC) histidine kinase putative [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	1590618	1591346	fsrB	1-729/729	===============	0/0	100.00	99.45	vfdb	NP_815518	vfdb~~~fsrB~~~NP_815518 (fsrB) agrBfs protein [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	1591435	1592166	fsrA	1-732/732	===============	0/0	100.00	98.91	vfdb	NP_815519	vfdb~~~fsrA~~~NP_815519 (fsrA) response regulator [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	1750972	1751898	efaA	1-927/927	===============	0/0	100.00	99.68	vfdb	NP_815739	vfdb~~~efaA~~~NP_815739 (efaA) endocarditis specific antigen [EfaA (VF0354)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	2019304	2020104	cpsB	1-801/801	===============	0/0	100.00	99.00	vfdb	NP_816140	vfdb~~~cpsB~~~NP_816140 (cpsB) phosphatidate cytidylyltransferase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	2020101	2020916	cpsA	1-816/816	===============	0/0	100.00	99.75	vfdb	NP_816141	vfdb~~~cpsA~~~NP_816141 (cpsA) undecaprenyl diphosphate synthase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	2029133	2033007	fss2	1-3872/4956	========/===...	4/7	78.09	94.30	vfdb	NP_816151	vfdb~~~fss2~~~NP_816151 (fss2) Enterococcus faecalis surface protein Fss2 fibrinogen binding protein [Fibrinogen binding protein (AI272)] [Enterococcus faecalis V583]
data/samples/OG1RF.fasta	NC_017316.1	2434526	2437962	EF3023	1-3437/4119	=============..	0/0	83.44	99.50	vfdb	NP_816637	vfdb~~~EF3023~~~NP_816637 (EF3023) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
