#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
data/samples/RD1-1.fasta	RD1_1_contig_15	74941	76959	ace	1-2025/2025	========/======	2/6	99.70	96.94	vfdb	NP_814829	vfdb~~~ace~~~NP_814829 (ace) collagen adhesin protein [Ace (VF0355)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_15	80026	80880	srtC	1-855/855	===============	0/0	100.00	99.42	vfdb	NP_814824	vfdb~~~srtC~~~NP_814824 (srtC) sortase [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_15	80974	82857	ebpC	1-1878/1878	========/======	1/6	100.00	98.89	vfdb	NP_814823	vfdb~~~ebpC~~~NP_814823 (ebpC) endocarditis and biofilm-associated pilus major subunit EbpC [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_15	82854	84284	ebpB	1-1431/1431	===============	0/0	100.00	99.02	vfdb	NP_814822	vfdb~~~ebpB~~~NP_814822 (ebpB) endocarditis and biofilm-associated pilus minor subunit EbpB [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_15	84288	87599	ebpA	1-3312/3312	===============	0/0	100.00	99.12	vfdb	NP_814821	vfdb~~~ebpA~~~NP_814821 (ebpA) endocarditis and biofilm-associated pilus tip protein EbpA [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_18	123	4430	fss2	1-4305/4956	========/=====.	6/11	86.78	95.94	vfdb	NP_816151	vfdb~~~fss2~~~NP_816151 (fss2) Enterococcus faecalis surface protein Fss2 fibrinogen binding protein [Fibrinogen binding protein (AI272)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_18	12646	13461	cpsA	1-816/816	===============	0/0	100.00	99.39	vfdb	NP_816141	vfdb~~~cpsA~~~NP_816141 (cpsA) undecaprenyl diphosphate synthase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_18	13458	14258	cpsB	1-801/801	===============	0/0	100.00	98.88	vfdb	NP_816140	vfdb~~~cpsB~~~NP_816140 (cpsB) phosphatidate cytidylyltransferase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_2	206002	206928	efaA	1-927/927	===============	0/0	100.00	99.68	vfdb	NP_815739	vfdb~~~efaA~~~NP_815739 (efaA) endocarditis specific antigen [EfaA (VF0354)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_3	137771	143734	fss1	1-5964/5964	===============	0/0	100.00	98.74	vfdb	NP_813892	vfdb~~~fss1~~~NP_813892 (fss1) Enterococcus faecalis surface protein Fss1 fibrinogen binding protein [Fibrinogen binding protein (AI271)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_6	23007	23738	fsrA	1-732/732	===============	0/0	100.00	99.04	vfdb	NP_815519	vfdb~~~fsrA~~~NP_815519 (fsrA) response regulator [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_6	23827	24555	fsrB	1-729/729	===============	0/0	100.00	99.59	vfdb	NP_815518	vfdb~~~fsrB~~~NP_815518 (fsrB) agrBfs protein [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_6	24552	25895	fsrC	1-1344/1344	===============	0/0	100.00	99.33	vfdb	NP_815517	vfdb~~~fsrC~~~NP_815517 (fsrC) histidine kinase putative [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_6	26130	27662	gelE	1-1533/1533	===============	0/0	100.00	98.76	vfdb	NP_815516	vfdb~~~gelE~~~NP_815516 (gelE) coccolysin [Gelatinase (VF0357)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_6	27711	28565	sprE	1-855/855	===============	0/0	100.00	99.53	vfdb	NP_815515	vfdb~~~sprE~~~NP_815515 (sprE) serine proteinase V8 family [SprE (VF0358)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_8	34896	37910	EF0818	1-3015/3015	===============	0/0	100.00	99.24	vfdb	NP_814561	vfdb~~~EF0818~~~NP_814561 (EF0818) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/RD1-1.fasta	RD1_1_contig_8	170561	171571	bopD	1-1011/1011	===============	0/0	100.00	99.21	vfdb	NP_814691	vfdb~~~bopD~~~NP_814691 (bopD) sugar-binding transcriptional regulator LacI family [BopD (VF0362)] [Enterococcus faecalis V583]
