#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
data/samples/V583.fasta	NC_004668.1	85595	91558	fss1	1-5964/5964	===============	0/0	100.00	100.00	vfdb	NP_813892	vfdb~~~fss1~~~NP_813892 (fss1) Enterococcus faecalis surface protein Fss1 fibrinogen binding protein [Fibrinogen binding protein (AI271)] [Enterococcus faecalis V583]
data/samples/V583.fasta	NC_004668.1	146450	150367	EF0149	1-3918/3918	===============	0/0	100.00	100.00	vfdb	NP_813951	vfdb~~~EF0149~~~NP_813951 (EF0149) aggregation substance [AS (VF0352)] [Enterococcus faecalis V583]
data/samples/V583.fasta	NC_004668.1	450206	454123	EF0485	1-3918/3918	===============	0/0	100.00	100.00	vfdb	NP_814266	vfdb~~~EF0485~~~NP_814266 (EF0485) aggregation substance [AS (VF0352)] [Enterococcus faecalis V583]
data/samples/V583.fasta	NC_004668.1	484016	484216	cylR2	1-201/201	===============	0/0	100.00	100.00	vfdb	AAM75247	vfdb~~~cylR2~~~AAM75247 (cylR2) cytolysin regulator R2 [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]
data/samples/V583.fasta	NC_004668.1	484217	484501	cylR1	1-285/285	===============	0/0	100.00	100.00	vfdb	AAM75248	vfdb~~~cylR1~~~AAM75248 (cylR1) cytolysin regulator R1 [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]
data/samples/V583.fasta	NC_004668.1	484620	484826	cylL	1-207/207	===============	0/0	100.00	100.00	vfdb	AAM75249	vfdb~~~cylL~~~AAM75249 (cylL) CylL; cytolysin subunit [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]
data/samples/V583.fasta	NC_004668.1	484860	485051	cylS	1-192/192	===============	0/0	100.00	100.00	vfdb	AAM75250	vfdb~~~cylS~~~AAM75250 (cylS) CylS; cytolysin subunit [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]
data/samples/V583.fasta	NC_004668.1	485112	488093	cylM	1-2982/2982	===============	0/0	100.00	99.70	vfdb	AAM75251	vfdb~~~cylM~~~AAM75251 (cylM) CylM; cytolysin subunit modifier [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]
data/samples/V583.fasta	NC_004668.1	488105	488902	cylB	1-798/2145	======.........	0/0	37.20	100.00	vfdb	AAM75252	vfdb~~~cylB~~~AAM75252 (cylB) ABC-type transporter [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]
data/samples/V583.fasta	NC_004668.1	519047	519117	cylA	1169-1239/1239	..............=	0/0	5.73	95.78	vfdb	AAM75253	vfdb~~~cylA~~~AAM75253 (cylA) cytolysin activator [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]
