#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
data/samples/D2.fasta	D2_MSG4819_contig_1	13330	16641	ebpA	1-3312/3312	===============	0/0	100.00	99.31	vfdb	NP_814821	vfdb~~~ebpA~~~NP_814821 (ebpA) endocarditis and biofilm-associated pilus tip protein EbpA [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_1	16645	18075	ebpB	1-1431/1431	===============	0/0	100.00	99.16	vfdb	NP_814822	vfdb~~~ebpB~~~NP_814822 (ebpB) endocarditis and biofilm-associated pilus minor subunit EbpB [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_1	18072	19955	ebpC	1-1878/1878	========/======	1/6	100.00	98.89	vfdb	NP_814823	vfdb~~~ebpC~~~NP_814823 (ebpC) endocarditis and biofilm-associated pilus major subunit EbpC [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_1	20049	20903	srtC	1-855/855	===============	0/0	100.00	99.18	vfdb	NP_814824	vfdb~~~srtC~~~NP_814824 (srtC) sortase [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_1	36148	38172	ace	1-2025/2025	===============	0/0	100.00	96.94	vfdb	NP_814829	vfdb~~~ace~~~NP_814829 (ace) collagen adhesin protein [Ace (VF0355)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_11	88749	89603	sprE	1-855/855	===============	0/0	100.00	98.95	vfdb	NP_815515	vfdb~~~sprE~~~NP_815515 (sprE) serine proteinase V8 family [SprE (VF0358)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_11	89652	91184	gelE	1-1533/1533	===============	0/0	100.00	99.02	vfdb	NP_815516	vfdb~~~gelE~~~NP_815516 (gelE) coccolysin [Gelatinase (VF0357)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_11	91419	92762	fsrC	1-1344/1344	===============	0/0	100.00	98.96	vfdb	NP_815517	vfdb~~~fsrC~~~NP_815517 (fsrC) histidine kinase putative [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_11	92759	93487	fsrB	1-729/729	===============	0/0	100.00	99.18	vfdb	NP_815518	vfdb~~~fsrB~~~NP_815518 (fsrB) agrBfs protein [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_11	93576	94307	fsrA	1-732/732	===============	0/0	100.00	99.59	vfdb	NP_815519	vfdb~~~fsrA~~~NP_815519 (fsrA) response regulator [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_24	41972	42898	efaA	1-927/927	===============	0/0	100.00	99.46	vfdb	NP_815739	vfdb~~~efaA~~~NP_815739 (efaA) endocarditis specific antigen [EfaA (VF0354)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_25	45380	48394	EF0818	1-3015/3015	===============	0/0	100.00	99.14	vfdb	NP_814561	vfdb~~~EF0818~~~NP_814561 (EF0818) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_3	57903	61552	EF3023	1-3650/4119	==============.	0/0	88.61	98.93	vfdb	NP_816637	vfdb~~~EF3023~~~NP_816637 (EF3023) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_4	113263	119226	fss1	1-5964/5964	===============	0/0	100.00	97.84	vfdb	NP_813892	vfdb~~~fss1~~~NP_813892 (fss1) Enterococcus faecalis surface protein Fss1 fibrinogen binding protein [Fibrinogen binding protein (AI271)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_6	47398	48198	cpsB	1-801/801	===============	0/0	100.00	99.38	vfdb	NP_816140	vfdb~~~cpsB~~~NP_816140 (cpsB) phosphatidate cytidylyltransferase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_6	48195	49010	cpsA	1-816/816	===============	0/0	100.00	99.14	vfdb	NP_816141	vfdb~~~cpsA~~~NP_816141 (cpsA) undecaprenyl diphosphate synthase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_6	57227	61101	fss2	1-3872/4956	========/===...	4/7	78.09	94.25	vfdb	NP_816151	vfdb~~~fss2~~~NP_816151 (fss2) Enterococcus faecalis surface protein Fss2 fibrinogen binding protein [Fibrinogen binding protein (AI272)] [Enterococcus faecalis V583]
data/samples/D2.fasta	D2_MSG4819_contig_7	33168	34178	bopD	1-1011/1011	===============	0/0	100.00	99.21	vfdb	NP_814691	vfdb~~~bopD~~~NP_814691 (bopD) sugar-binding transcriptional regulator LacI family [BopD (VF0362)] [Enterococcus faecalis V583]
