#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
data/samples/ST1-20.fasta	ST1_20_contig_3	127841	133804	fss1	1-5964/5964	===============	0/0	100.00	98.73	vfdb	NP_813892	vfdb~~~fss1~~~NP_813892 (fss1) Enterococcus faecalis surface protein Fss1 fibrinogen binding protein [Fibrinogen binding protein (AI271)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_5	43	3570	EF3023	1-3528/4119	========/====..	2/6	85.58	98.02	vfdb	NP_816637	vfdb~~~EF3023~~~NP_816637 (EF3023) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_6	271746	275617	fss2	1-3872/4956	============...	0/0	78.13	97.42	vfdb	NP_816151	vfdb~~~fss2~~~NP_816151 (fss2) Enterococcus faecalis surface protein Fss2 fibrinogen binding protein [Fibrinogen binding protein (AI272)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_6	283834	284649	cpsA	1-816/816	===============	0/0	100.00	99.27	vfdb	NP_816141	vfdb~~~cpsA~~~NP_816141 (cpsA) undecaprenyl diphosphate synthase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_6	284646	285446	cpsB	1-801/801	===============	0/0	100.00	99.50	vfdb	NP_816140	vfdb~~~cpsB~~~NP_816140 (cpsB) phosphatidate cytidylyltransferase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_6	527955	528881	efaA	1-927/927	===============	0/0	100.00	99.68	vfdb	NP_815739	vfdb~~~efaA~~~NP_815739 (efaA) endocarditis specific antigen [EfaA (VF0354)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_6	730961	731692	fsrA	1-732/732	===============	0/0	100.00	98.91	vfdb	NP_815519	vfdb~~~fsrA~~~NP_815519 (fsrA) response regulator [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_6	731781	732509	fsrB	1-729/729	===============	0/0	100.00	99.59	vfdb	NP_815518	vfdb~~~fsrB~~~NP_815518 (fsrB) agrBfs protein [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_6	732506	733849	fsrC	1-1344/1344	===============	0/0	100.00	99.41	vfdb	NP_815517	vfdb~~~fsrC~~~NP_815517 (fsrC) histidine kinase putative [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_6	734084	735616	gelE	1-1533/1533	===============	0/0	100.00	98.76	vfdb	NP_815516	vfdb~~~gelE~~~NP_815516 (gelE) coccolysin [Gelatinase (VF0357)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_6	735665	736519	sprE	1-855/855	===============	0/0	100.00	99.53	vfdb	NP_815515	vfdb~~~sprE~~~NP_815515 (sprE) serine proteinase V8 family [SprE (VF0358)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_6	1395246	1396685	ace	1-1440/2025	===========....	0/0	71.11	97.22	vfdb	NP_814829	vfdb~~~ace~~~NP_814829 (ace) collagen adhesin protein [Ace (VF0355)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_6	1432626	1433480	srtC	1-855/855	===============	0/0	100.00	99.42	vfdb	NP_814824	vfdb~~~srtC~~~NP_814824 (srtC) sortase [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_6	1433574	1435457	ebpC	1-1878/1878	========/======	1/6	100.00	98.94	vfdb	NP_814823	vfdb~~~ebpC~~~NP_814823 (ebpC) endocarditis and biofilm-associated pilus major subunit EbpC [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_6	1435454	1436884	ebpB	1-1431/1431	===============	0/0	100.00	99.16	vfdb	NP_814822	vfdb~~~ebpB~~~NP_814822 (ebpB) endocarditis and biofilm-associated pilus minor subunit EbpB [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_6	1436888	1440199	ebpA	1-3312/3312	===============	0/0	100.00	99.12	vfdb	NP_814821	vfdb~~~ebpA~~~NP_814821 (ebpA) endocarditis and biofilm-associated pilus tip protein EbpA [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_7	101482	102492	bopD	1-1011/1011	===============	0/0	100.00	99.21	vfdb	NP_814691	vfdb~~~bopD~~~NP_814691 (bopD) sugar-binding transcriptional regulator LacI family [BopD (VF0362)] [Enterococcus faecalis V583]
data/samples/ST1-20.fasta	ST1_20_contig_9	365181	368195	EF0818	1-3015/3015	===============	0/0	100.00	99.24	vfdb	NP_814561	vfdb~~~EF0818~~~NP_814561 (EF0818) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
