locus_tag	ftype	length_bp	gene	EC_number	COG	product
NPDMGLKN_00001	CDS	1446	lacG_1	3.2.1.85		6-phospho-beta-galactosidase
NPDMGLKN_00002	CDS	840		3.1.1.3		esterase
NPDMGLKN_00003	CDS	918				ROK family protein
NPDMGLKN_00004	CDS	1104				alpha3-beta1 integrin-binding family protein
NPDMGLKN_00005	CDS	1293		2.7.1.69		PTS system lactose/cellobiose-specific transporter subunit IIC
NPDMGLKN_00006	CDS	753				hypothetical protein
NPDMGLKN_00007	CDS	885	sagG			putative ABC transporter, ATP-binding protein SagG
NPDMGLKN_00008	CDS	1434		3.2.1.86		6-phospho-beta-glucosidase
NPDMGLKN_00009	CDS	369				hypothetical protein
NPDMGLKN_00010	CDS	1650				DNA mismatch repair protein
NPDMGLKN_00011	CDS	156				hypothetical protein
NPDMGLKN_00012	CDS	936	yadG			ABC transporter, ATP-binding protein
NPDMGLKN_00013	CDS	771	yadH			ABC transporter permease
NPDMGLKN_00014	CDS	519		2.3.1.-		acetyltransferase, GNAT family
NPDMGLKN_00015	CDS	963	dus2	1.-.-.-		tRNA-dihydrouridine synthase
NPDMGLKN_00016	CDS	1491	crtN	1.3.8.2		Dehydrosqualene desaturase
NPDMGLKN_00017	CDS	870	crtM	2.5.1.96	COG1562	Dehydrosqualene synthase
NPDMGLKN_00018	CDS	294	esxA_1			ESAT-6 secretion system extracellular protein A
NPDMGLKN_00019	CDS	276				hypothetical protein
NPDMGLKN_00020	CDS	1173				hypothetical protein
NPDMGLKN_00021	CDS	1560				hypothetical protein
NPDMGLKN_00022	CDS	2781				hypothetical protein
NPDMGLKN_00023	CDS	1233				hypothetical protein
NPDMGLKN_00024	CDS	468				Rrf2 family protein
NPDMGLKN_00025	CDS	849				NmrA-like family protein
NPDMGLKN_00026	CDS	441				hypothetical protein
NPDMGLKN_00027	CDS	516				PadR family transcriptional regulator
NPDMGLKN_00028	CDS	1215				major facilitator superfamily transporter
NPDMGLKN_00029	CDS	318				hypothetical protein
NPDMGLKN_00030	CDS	345				hypothetical protein
NPDMGLKN_00031	CDS	1245	proA	1.2.1.41		Gamma-glutamyl phosphate reductase
NPDMGLKN_00032	CDS	807	proB	2.7.2.11		glutamate 5-kinase
NPDMGLKN_00033	CDS	531		3.6.1.23		deoxyuridine 5'-triphosphate nucleotidohydrolase
NPDMGLKN_00034	CDS	1371	radA			DNA repair protein RadA
NPDMGLKN_00035	CDS	1161				Integral membrane protein
NPDMGLKN_00036	CDS	1461	gltX	6.1.1.17		glutamyl-tRNA synthetase
NPDMGLKN_00037	CDS	537		2.3.1.30		Serine O-acetyltransferase
NPDMGLKN_00038	CDS	1413	cysS	6.1.1.16		cysteinyl-tRNA synthetase
NPDMGLKN_00039	CDS	192		3.1.26.3		ribonuclease III
NPDMGLKN_00040	CDS	888		2.1.1.-		trmH family tRNA/rRNA methyltransferase
NPDMGLKN_00041	CDS	531				putative RNA-binding protein containing a PIN domain protein
NPDMGLKN_00042	CDS	579				RNA polymerase sigma-70 factor family protein
NPDMGLKN_00043	CDS	246				veg family protein
NPDMGLKN_00044	CDS	438		2.3.1.-		GNAT family acetyltransferase
NPDMGLKN_00045	CDS	465				large conductance mechanosensitive channel protein
NPDMGLKN_00046	CDS	1269		3.4.-.-		Peptidase M16 inactive domain protein
NPDMGLKN_00047	CDS	1290		3.4.-.-		peptidase M16 inactive domain protein
NPDMGLKN_00048	CDS	891				hypothetical protein
NPDMGLKN_00049	CDS	579		2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
NPDMGLKN_00050	CDS	1248				competence/damage-inducible protein CinA protein
NPDMGLKN_00051	CDS	1041	recA	3.1.-.-		DNA recombination protein RecA
NPDMGLKN_00052	CDS	1557	rny	3.1.4.16		2',3'-cyclic-nucleotide 2'-phosphodiesterase
NPDMGLKN_00053	CDS	2904				hypothetical protein
NPDMGLKN_00054	CDS	162				hypothetical protein
NPDMGLKN_00055	CDS	807		1.5.1.2		delta 1-pyrroline-5-carboxylate reductase
NPDMGLKN_00056	CDS	2574		6.1.1.6		ysyl-tRNA synthetase
NPDMGLKN_00057	CDS	861	ispE	2.7.1.148		4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
NPDMGLKN_00058	CDS	951				periplasmic solute binding family protein
NPDMGLKN_00059	CDS	681	adcC			ABC transporter ATP-binding protein
NPDMGLKN_00060	CDS	825				ABC transporter permease
NPDMGLKN_00061	CDS	819				pur operon repressor
NPDMGLKN_00062	CDS	1374	glmU	2.7.7.23		bifunctional N-acetylglucosamine-1-phosphate / uridyltransferase/glucosamine-1-phosphate acetyltransferase
NPDMGLKN_00063	CDS	969	prs1	2.7.6.1		Ribose-phosphate pyrophosphokinase 1
NPDMGLKN_00064	CDS	561				membrane protein
NPDMGLKN_00065	CDS	777				hypothetical protein
NPDMGLKN_00066	CDS	1716		3.1.1.-		phospholipase, patatin family
NPDMGLKN_00067	CDS	219				hypothetical protein
NPDMGLKN_00068	CDS	891				hypothetical protein
NPDMGLKN_00069	CDS	285				hypothetical protein
NPDMGLKN_00070	CDS	615	gmk	2.7.4.8		guanylate kinase
NPDMGLKN_00071	CDS	306	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
NPDMGLKN_00072	CDS	2409		3.6.1.-		Primosomal protein N'
NPDMGLKN_00073	CDS	492		3.5.1.88		Peptide deformylase
NPDMGLKN_00074	CDS	942	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
NPDMGLKN_00075	CDS	1359		2.1.1.-		Ribosomal RNA small subunit methyltransferase B
NPDMGLKN_00076	CDS	741		3.1.3.16		serine/threonine phosphatase
NPDMGLKN_00077	CDS	2034		2.7.11.1		serine/threonine-protein kinase
NPDMGLKN_00078	CDS	900	rsgA	3.6.1.-		Putative ribosome biogenesis GTPase RsgA
NPDMGLKN_00079	CDS	651		5.1.3.1		Ribulose-phosphate 3-epimerase
NPDMGLKN_00080	CDS	636		2.7.6.2		thiamin pyrophosphokinase family protein
NPDMGLKN_00081	CDS	855	mreC			rod shape-determining protein MreC
NPDMGLKN_00082	CDS	510	mreD			rod shape-determining protein MreD
NPDMGLKN_00083	CDS	1563				NlpC/P60 family lipoprotein
NPDMGLKN_00084	CDS	144				hypothetical protein
NPDMGLKN_00085	CDS	1803		3.4.24.-		oligoendopeptidase, PepF/M3 family
NPDMGLKN_00086	CDS	507				integral membrane protein
NPDMGLKN_00087	CDS	444				hypothetical protein
NPDMGLKN_00088	CDS	1407				ErfK/YbiS/YcfS/YnhG family protein
NPDMGLKN_00089	CDS	975	ldh1	1.1.1.27		L-lactate dehydrogenase
NPDMGLKN_00090	CDS	561		3.1.1.29		Peptidyl-tRNA hydrolase
NPDMGLKN_00091	CDS	3522		3.6.1.-		transcription-repair coupling factor
NPDMGLKN_00092	CDS	1611				polysaccharide biosynthesis family protein
NPDMGLKN_00093	CDS	276				S4 RNA-binding domain-containing protein
NPDMGLKN_00094	CDS	414				septum formation initiator
NPDMGLKN_00095	CDS	483				S1 RNA binding domain-containing protein
NPDMGLKN_00096	CDS	1443		6.3.4.-		tRNA(Ile)-lysidine synthase
NPDMGLKN_00097	CDS	546	hpt	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
NPDMGLKN_00098	CDS	2112	hflB	3.4.24.-		ATP-dependent metalloprotease
NPDMGLKN_00099	CDS	888	hslO			chaperonin HslO
NPDMGLKN_00100	CDS	996		1.-.-.-		tRNA-dihydrouridine synthase
NPDMGLKN_00101	CDS	1497	lysS	6.1.1.6		lysyl-tRNA synthetase
NPDMGLKN_00102	CDS	351				hypothetical protein
NPDMGLKN_00103	tRNA	73				tRNA-Thr(ggt)
NPDMGLKN_00104	tRNA	76				tRNA-Asn(gtt)
NPDMGLKN_00105	CDS	1329		3.4.22.40		Aminopeptidase C
NPDMGLKN_00106	CDS	834		2.7.1.-		Fructosamine kinase
NPDMGLKN_00107	CDS	738		3.1.2.14		Acyl-ACP thioesterase
NPDMGLKN_00108	CDS	969		3.5.1.1		L-asparaginase
NPDMGLKN_00109	CDS	834				hypothetical protein
NPDMGLKN_00110	CDS	840		3.-.-.-		HAD superfamily hydrolase
NPDMGLKN_00111	CDS	531				hypothetical protein
NPDMGLKN_00112	CDS	1722	ezrA			septation ring formation regulator EzrA
NPDMGLKN_00113	CDS	1143		4.4.1.-		class V aminotransferase
NPDMGLKN_00114	CDS	1212	thiI	2.8.1.4		thiamine biosynthesis protein ThiI
NPDMGLKN_00115	CDS	648	rex2			redox-sensing transcriptional repressor Rex
NPDMGLKN_00116	CDS	3360				hypothetical protein
NPDMGLKN_00117	CDS	2646	valS	6.1.1.9		valyl-tRNA synthetase
NPDMGLKN_00118	CDS	1314		6.3.2.17		Folylpolyglutamate synthase
NPDMGLKN_00119	CDS	657		3.-.-.-		HAD-superfamily hydrolase
NPDMGLKN_00120	CDS	693	radC			DNA repair protein RadC
NPDMGLKN_00121	CDS	201	cspE			major cold shock protein CspE
NPDMGLKN_00122	CDS	1683	rnjA	3.1.-.-		Ribonuclease J 1
NPDMGLKN_00123	CDS	213				hypothetical protein
NPDMGLKN_00124	CDS	1731				ABC transporter ATP-binding protein/permease
NPDMGLKN_00125	CDS	1767				ABC transporter ATP-binding protein/permease
NPDMGLKN_00126	CDS	1473				hypothetical protein
NPDMGLKN_00127	CDS	489		2.3.1.-		Carbonic anhydrase/acetyltransferase
NPDMGLKN_00128	CDS	594	clpP	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
NPDMGLKN_00129	CDS	528				hypothetical protein
NPDMGLKN_00130	CDS	735		3.1.4.44		glycerophosphodiester phosphodiesterase family protein
NPDMGLKN_00131	CDS	927		2.5.1.75		tRNA dimethylallyltransferase
NPDMGLKN_00132	CDS	1233	hflX			GTP-binding protein HflX
NPDMGLKN_00133	CDS	393				MerR family transcriptional regulator
