locus_tag	ftype	length_bp	gene	EC_number	COG	product
KMDCKEIE_00001	tRNA	74				tRNA-Arg(acg)
KMDCKEIE_00001	gene	74				
KMDCKEIE_00002	tRNA	74				tRNA-Pro(tgg)
KMDCKEIE_00002	gene	74				
KMDCKEIE_00003	tRNA	75				tRNA-Ala(tgc)
KMDCKEIE_00003	gene	75				
KMDCKEIE_00004	tRNA	76				tRNA-Met(cat)
KMDCKEIE_00004	gene	76				
KMDCKEIE_00005	tRNA	76				tRNA-Met(cat)
KMDCKEIE_00005	gene	76				
KMDCKEIE_00006	tRNA	90				tRNA-Ser(tga)
KMDCKEIE_00006	gene	90				
KMDCKEIE_00007	tRNA	76				tRNA-Met(cat)
KMDCKEIE_00007	gene	76				
KMDCKEIE_00008	tRNA	77				tRNA-Asp(gtc)
KMDCKEIE_00008	gene	77				
KMDCKEIE_00009	tRNA	71				tRNA-Gly(tcc)
KMDCKEIE_00009	gene	71				
KMDCKEIE_00010	tRNA	76				tRNA-Ile(gat)
KMDCKEIE_00010	gene	76				
KMDCKEIE_00011	tRNA	74				tRNA-Glu(ttc)
KMDCKEIE_00011	gene	74				
KMDCKEIE_00012	tRNA	90				tRNA-Ser(tga)
KMDCKEIE_00012	gene	90				
KMDCKEIE_00013	tRNA	76				tRNA-Met(cat)
KMDCKEIE_00013	gene	76				
KMDCKEIE_00014	tRNA	76				tRNA-Asp(gtc)
KMDCKEIE_00014	gene	76				
KMDCKEIE_00015	tRNA	78				tRNA-Phe(gaa)
KMDCKEIE_00015	gene	78				
KMDCKEIE_00016	tRNA	71				tRNA-Gly(tcc)
KMDCKEIE_00016	gene	71				
KMDCKEIE_00017	tRNA	74				tRNA-Ile(gat)
KMDCKEIE_00017	gene	74				
KMDCKEIE_00018	tRNA	90				tRNA-Ser(gct)
KMDCKEIE_00018	gene	90				
KMDCKEIE_00019	tRNA	74				tRNA-Glu(ttc)
KMDCKEIE_00019	gene	74				
KMDCKEIE_00020	CDS	843				transcriptional antiterminator bglG/CAT RNA-binding protein
KMDCKEIE_00020	gene	843				
KMDCKEIE_00021	CDS	1899		2.7.1.69		PTS system, beta-glucoside-specific IIABC component
KMDCKEIE_00021	gene	1899				
KMDCKEIE_00022	CDS	1431		3.2.1.86		6-phospho-beta-glucosidase
KMDCKEIE_00022	gene	1431				
KMDCKEIE_00023	CDS	1467		3.2.1.86		6-phospho-beta-glucosidase
KMDCKEIE_00023	gene	1467				
KMDCKEIE_00024	CDS	819		5.4.2.1		phosphoglycerate mutase family protein
KMDCKEIE_00024	gene	819				
KMDCKEIE_00025	CDS	744		3.1.-.-		hydrolase
KMDCKEIE_00025	gene	744				
KMDCKEIE_00026	CDS	567	adaA	2.1.1.-	COG2169	Bifunctional transcriptional activator/DNA repair enzyme AdaA
KMDCKEIE_00026	gene	567	adaA			
KMDCKEIE_00027	CDS	492	adaB	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, inducible
KMDCKEIE_00027	gene	492	adaB			
