locus_tag	ftype	length_bp	gene	EC_number	COG	product
JJOFAEME_00001	CDS	582	inlJ			Internalin-J
JJOFAEME_00001	gene	582	inlJ			
JJOFAEME_00002	CDS	1458				hypothetical protein
JJOFAEME_00002	gene	1458				
JJOFAEME_00003	CDS	327				hypothetical protein
JJOFAEME_00003	gene	327				
JJOFAEME_00004	CDS	792				hypothetical protein
JJOFAEME_00004	gene	792				
JJOFAEME_00005	CDS	1062				cell wall surface anchor family protein
JJOFAEME_00005	gene	1062				
JJOFAEME_00006	CDS	2490				hypothetical protein
JJOFAEME_00006	gene	2490				
JJOFAEME_00007	CDS	2100				hypothetical protein
JJOFAEME_00007	gene	2100				
JJOFAEME_00008	CDS	480	sipV	3.4.21.89	COG0681	Signal peptidase I V
JJOFAEME_00008	gene	480	sipV			
JJOFAEME_00009	CDS	858				hypothetical protein
JJOFAEME_00009	gene	858				
JJOFAEME_00010	CDS	1026				hypothetical protein
JJOFAEME_00010	gene	1026				
JJOFAEME_00011	CDS	1263				hypothetical protein
JJOFAEME_00011	gene	1263				
JJOFAEME_00012	CDS	348				hypothetical protein
JJOFAEME_00012	gene	348				
JJOFAEME_00013	CDS	4227				hypothetical protein
JJOFAEME_00013	gene	4227				
JJOFAEME_00014	CDS	348				hypothetical protein
JJOFAEME_00014	gene	348				
JJOFAEME_00015	CDS	642				Resolvase protein
JJOFAEME_00015	gene	642				
JJOFAEME_00016	CDS	282				hypothetical protein
JJOFAEME_00016	gene	282				
JJOFAEME_00017	CDS	1194		2.7.7.-		ISEfa7, transposase
JJOFAEME_00017	gene	1194				
JJOFAEME_00018	CDS	204				hypothetical protein
JJOFAEME_00018	gene	204				
JJOFAEME_00019	CDS	1167	xerC_1			site-specific tyrosine recombinase XerC-family protein
JJOFAEME_00019	gene	1167	xerC_1			
JJOFAEME_00020	CDS	447			COG0789	putative HTH-type transcriptional regulator
JJOFAEME_00020	gene	447				
JJOFAEME_00021	CDS	1008		1.1.1.-		oxidoreductase, aldo/keto reductase family protein
JJOFAEME_00021	gene	1008				
JJOFAEME_00022	CDS	363				zeta toxin
JJOFAEME_00022	gene	363				
JJOFAEME_00023	CDS	168				hypothetical protein
JJOFAEME_00023	gene	168				
JJOFAEME_00024	CDS	1767		2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
JJOFAEME_00024	gene	1767				
JJOFAEME_00025	CDS	1245				major facilitator superfamily transporter
JJOFAEME_00025	gene	1245				
JJOFAEME_00026	CDS	888				phosphosugar-binding transcriptional regulator
JJOFAEME_00026	gene	888				
JJOFAEME_00027	CDS	822				hypothetical protein
JJOFAEME_00027	gene	822				
JJOFAEME_00028	CDS	156				hypothetical protein
JJOFAEME_00028	gene	156				
JJOFAEME_00029	CDS	1857		2.7.1.69		PTS system beta-glucoside-specific transporter subunit IIABC
JJOFAEME_00029	gene	1857				
JJOFAEME_00030	CDS	1425		3.2.1.86		6-phospho-beta-glucosidase
JJOFAEME_00030	gene	1425				
JJOFAEME_00031	CDS	885				AraC family transcriptional regulator
JJOFAEME_00031	gene	885				
JJOFAEME_00032	CDS	1107		3.2.1.-		Glycosyl Hydrolase Family 88
JJOFAEME_00032	gene	1107				
JJOFAEME_00033	CDS	312	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
JJOFAEME_00033	gene	312	rhaM			
JJOFAEME_00034	CDS	1452	rssB_1			Regulator of RpoS
JJOFAEME_00034	gene	1452	rssB_1			
JJOFAEME_00035	CDS	1770				hypothetical protein
JJOFAEME_00035	gene	1770				
JJOFAEME_00036	CDS	657				hypothetical protein
JJOFAEME_00036	gene	657				
JJOFAEME_00037	CDS	1311				extracellular solute-binding protein
JJOFAEME_00037	gene	1311				
JJOFAEME_00038	CDS	969				ABC transporter permease
JJOFAEME_00038	gene	969				
JJOFAEME_00039	CDS	834				ABC transporter permease
JJOFAEME_00039	gene	834				
JJOFAEME_00040	CDS	1614	pehX	3.2.1.82		Exo-poly-alpha-D-galacturonosidase
JJOFAEME_00040	gene	1614	pehX			
JJOFAEME_00041	CDS	1254		3.2.1.15		polygalacturonase
JJOFAEME_00041	gene	1254				
JJOFAEME_00042	CDS	1515				extracellular solute-binding protein
JJOFAEME_00042	gene	1515				
JJOFAEME_00043	CDS	669	yesU			putative protein YesU
JJOFAEME_00043	gene	669	yesU			
JJOFAEME_00044	CDS	675	yesV		COG5578	putative protein YesV
JJOFAEME_00044	gene	675	yesV			
JJOFAEME_00045	CDS	2514				hypothetical protein
JJOFAEME_00045	gene	2514				
JJOFAEME_00046	CDS	948	yteP_1			ABC transporter permease
JJOFAEME_00046	gene	948	yteP_1			
JJOFAEME_00047	CDS	879	ytcP_1			ABC transporter permease
JJOFAEME_00047	gene	879	ytcP_1			
JJOFAEME_00048	CDS	2211				AraC family transcriptional regulator
JJOFAEME_00048	gene	2211				
JJOFAEME_00049	CDS	2673				hypothetical protein
JJOFAEME_00049	gene	2673				
JJOFAEME_00050	CDS	840		4.2.99.18		AP endonuclease
JJOFAEME_00050	gene	840				
JJOFAEME_00051	CDS	984				LacI family transcription regulator
JJOFAEME_00051	gene	984				
JJOFAEME_00052	CDS	768	hisK_1	3.1.3.15	COG1387	Histidinol-phosphatase
JJOFAEME_00052	gene	768	hisK_1			
JJOFAEME_00053	CDS	1017	add	3.5.4.4	COG1816	Adenosine deaminase
JJOFAEME_00053	gene	1017	add			
JJOFAEME_00054	CDS	1107	ald2	1.4.1.1		Alanine dehydrogenase 2
JJOFAEME_00054	gene	1107	ald2			
JJOFAEME_00055	CDS	723				hypothetical protein
JJOFAEME_00055	gene	723				
JJOFAEME_00056	CDS	1932				ABC transporter ATP-binding protein
JJOFAEME_00056	gene	1932				
JJOFAEME_00057	CDS	747	rex1			redox-sensitive transcriptional regulator
JJOFAEME_00057	gene	747	rex1			
JJOFAEME_00058	CDS	363				thioredoxin domain-containing protein
JJOFAEME_00058	gene	363				
JJOFAEME_00059	CDS	948				putative permease
JJOFAEME_00059	gene	948				
JJOFAEME_00060	CDS	831				membrane protein
JJOFAEME_00060	gene	831				
JJOFAEME_00061	CDS	267				hypothetical protein
JJOFAEME_00061	gene	267				
JJOFAEME_00062	CDS	432		3.1.-.-		Holliday junction resolvase-like protein
JJOFAEME_00062	gene	432				
JJOFAEME_00063	CDS	318				hypothetical protein
JJOFAEME_00063	gene	318				
JJOFAEME_00064	CDS	186				hypothetical protein
JJOFAEME_00064	gene	186				
JJOFAEME_00065	CDS	1104		1.13.12.4		L-lactate oxidase
JJOFAEME_00065	gene	1104				
JJOFAEME_00066	CDS	627				hypothetical protein
JJOFAEME_00066	gene	627				
JJOFAEME_00067	CDS	510		2.3.1.-		GNAT family acetyltransferase
JJOFAEME_00067	gene	510				
JJOFAEME_00068	CDS	843				membrane protein
JJOFAEME_00068	gene	843				
JJOFAEME_00069	CDS	1452		3.5.1.4		amidase
JJOFAEME_00069	gene	1452				
JJOFAEME_00070	CDS	852				family 3 extracellular solute-binding protein
JJOFAEME_00070	gene	852				
JJOFAEME_00071	CDS	681				amino acid ABC transporter, amino acid-binding/permease
JJOFAEME_00071	gene	681				
JJOFAEME_00072	CDS	321	xre_1		COG1396	HTH-type transcriptional regulator Xre
JJOFAEME_00072	gene	321	xre_1			
JJOFAEME_00073	CDS	336		2.7.1.69		PTS system cellobiose-specific transporter subunit IIB
JJOFAEME_00073	gene	336				
JJOFAEME_00074	CDS	357		2.7.1.-		PTS system, cellobiose-specific IIA componenent
JJOFAEME_00074	gene	357				
JJOFAEME_00075	CDS	519				hypothetical protein
JJOFAEME_00075	gene	519				
JJOFAEME_00076	CDS	1344		2.7.1.69		PTS system cellobiose-specific transporter subunit IIC
JJOFAEME_00076	gene	1344				
JJOFAEME_00077	CDS	639				hypothetical protein
JJOFAEME_00077	gene	639				
JJOFAEME_00078	CDS	945				ROK family protein
JJOFAEME_00078	gene	945				
JJOFAEME_00079	CDS	1200				putative permease
JJOFAEME_00079	gene	1200				
JJOFAEME_00080	CDS	369		3.1.2.-	COG2050	Putative esterase
JJOFAEME_00080	gene	369				
JJOFAEME_00081	CDS	816	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
JJOFAEME_00081	gene	816	menB			
JJOFAEME_00082	CDS	1500		6.1.1.13		D-alanine--poly(phosphoribitol) ligase subunit 1
JJOFAEME_00082	gene	1500				
JJOFAEME_00083	CDS	1365	pchA	5.4.4.2	COG1169	Salicylate biosynthesis isochorismate synthase
JJOFAEME_00083	gene	1365	pchA			
JJOFAEME_00084	CDS	1713	menD	2.2.1.9		2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
JJOFAEME_00084	gene	1713	menD			
JJOFAEME_00085	CDS	840	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
JJOFAEME_00085	gene	840	menH			
JJOFAEME_00086	CDS	1128	menC	4.2.1.113	COG4948	o-succinylbenzoate synthase
JJOFAEME_00086	gene	1128	menC			
JJOFAEME_00087	CDS	1554				AMP-binding family protein
JJOFAEME_00087	gene	1554				
JJOFAEME_00088	CDS	624	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
JJOFAEME_00088	gene	624	dapH			
JJOFAEME_00089	CDS	1194		1.1.1.-		D-isomer specific 2-hydroxyacid dehydrogenase
JJOFAEME_00089	gene	1194				
JJOFAEME_00090	CDS	654				GntR family transcriptional regulator
JJOFAEME_00090	gene	654				
JJOFAEME_00091	CDS	1215		3.6.3.32		glycine betaine transporter ATP-binding subunit
JJOFAEME_00091	gene	1215				
JJOFAEME_00092	CDS	1725				Substrate binding domain of ABC-type glycine betaine transport system
JJOFAEME_00092	gene	1725				
JJOFAEME_00093	CDS	1761				hypothetical protein
JJOFAEME_00093	gene	1761				
JJOFAEME_00094	CDS	831	rhaS_1			HTH-type transcriptional activator RhaS
JJOFAEME_00094	gene	831	rhaS_1			
JJOFAEME_00095	CDS	2415		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
JJOFAEME_00095	gene	2415				
JJOFAEME_00096	CDS	1488				hypothetical protein
JJOFAEME_00096	gene	1488				
JJOFAEME_00097	CDS	1287				ABC transporter substrate-binding protein
JJOFAEME_00097	gene	1287				
JJOFAEME_00098	CDS	918				ABC transporter ATP-binding protein
JJOFAEME_00098	gene	918				
JJOFAEME_00099	CDS	870				ABC transporter permease
JJOFAEME_00099	gene	870				
JJOFAEME_00100	CDS	699				hypothetical protein
JJOFAEME_00100	gene	699				
JJOFAEME_00101	CDS	837	hisK_2	3.1.3.15	COG1387	Histidinol-phosphatase
JJOFAEME_00101	gene	837	hisK_2			
JJOFAEME_00102	CDS	642		2.3.1.79		maltose O-acetyltransferase
JJOFAEME_00102	gene	642				
JJOFAEME_00103	CDS	393				hypothetical protein
JJOFAEME_00103	gene	393				
JJOFAEME_00104	CDS	981				hypothetical protein
JJOFAEME_00104	gene	981				
JJOFAEME_00105	CDS	927		3.1.26.4		ribonuclease HIII
JJOFAEME_00105	gene	927				
JJOFAEME_00106	CDS	441				cell division protein ZapA
JJOFAEME_00106	gene	441				
JJOFAEME_00107	CDS	555				CvpA family protein
JJOFAEME_00107	gene	555				
JJOFAEME_00108	CDS	2364				recombination and DNA strand exchange inhibitor protein
JJOFAEME_00108	gene	2364				
JJOFAEME_00109	CDS	315		1.8.1.8		thioredoxin
JJOFAEME_00109	gene	315				
JJOFAEME_00110	CDS	2235				hypothetical protein
JJOFAEME_00110	gene	2235				
JJOFAEME_00111	CDS	327				hypothetical protein
JJOFAEME_00111	gene	327				
JJOFAEME_00112	CDS	681				hypothetical protein
JJOFAEME_00112	gene	681				
JJOFAEME_00113	CDS	900				ABC transporter ATP-binding protein
JJOFAEME_00113	gene	900				
JJOFAEME_00114	CDS	1254	traL			putative type IV conjugative transfer system protein TraL
JJOFAEME_00114	gene	1254	traL			
JJOFAEME_00115	CDS	714		6.3.5.2		glutamine amidotransferase
JJOFAEME_00115	gene	714				
JJOFAEME_00116	CDS	375		4.4.1.5		lactoylglutathione lyase
JJOFAEME_00116	gene	375				
JJOFAEME_00117	CDS	444		3.6.1.-		NUDIX family hydrolase
JJOFAEME_00117	gene	444				
JJOFAEME_00118	CDS	819		3.-.-.-		HAD superfamily hydrolase
JJOFAEME_00118	gene	819				
JJOFAEME_00119	CDS	1371				HD domain-containing protein
JJOFAEME_00119	gene	1371				
JJOFAEME_00120	CDS	837		2.7.7.63		lipoate-protein ligase A
JJOFAEME_00120	gene	837				
JJOFAEME_00121	CDS	438				hypothetical protein
JJOFAEME_00121	gene	438				
JJOFAEME_00122	CDS	609		2.7.7.6		DNA-directed RNA polymerase subunit delta
JJOFAEME_00122	gene	609				
JJOFAEME_00123	tRNA	74				tRNA-Arg(ccg)
JJOFAEME_00123	gene	74				
JJOFAEME_00124	CDS	1317				RNA polymerase factor sigma-54
JJOFAEME_00124	gene	1317				
JJOFAEME_00125	CDS	1038				SorC family transcriptional regulator
JJOFAEME_00125	gene	1038				
JJOFAEME_00126	CDS	1002		1.2.1.12		glyceraldehyde-3-phosphate dehydrogenase
JJOFAEME_00126	gene	1002				
JJOFAEME_00127	CDS	1191	pgk	2.7.2.3		phosphoglycerate kinase
JJOFAEME_00127	gene	1191	pgk			
JJOFAEME_00128	CDS	756	tpiA	5.3.1.1		triosephosphate isomerase
JJOFAEME_00128	gene	756	tpiA			
JJOFAEME_00129	CDS	1302	eno	4.2.1.11		enolase
JJOFAEME_00129	gene	1302	eno			
JJOFAEME_00130	CDS	1113	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
JJOFAEME_00130	gene	1113	glf			
JJOFAEME_00131	CDS	282				hypothetical protein
JJOFAEME_00131	gene	282				
JJOFAEME_00132	CDS	1080				hypothetical protein
JJOFAEME_00132	gene	1080				
JJOFAEME_00133	CDS	4869				hypothetical protein
JJOFAEME_00133	gene	4869				
JJOFAEME_00134	CDS	435				hypothetical protein
JJOFAEME_00134	gene	435				
JJOFAEME_00135	CDS	2370	secA_1			preprotein translocase, SecA subunit
JJOFAEME_00135	gene	2370	secA_1			
JJOFAEME_00136	CDS	456				hypothetical protein
JJOFAEME_00136	gene	456				
JJOFAEME_00137	CDS	1218	secY_1			preprotein translocase subunit SecY
JJOFAEME_00137	gene	1218	secY_1			
JJOFAEME_00138	CDS	1602				hypothetical protein
JJOFAEME_00138	gene	1602				
JJOFAEME_00139	CDS	1584	asp2			Accessory Sec system protein Asp2
JJOFAEME_00139	gene	1584	asp2			
JJOFAEME_00140	CDS	906				hypothetical protein
JJOFAEME_00140	gene	906				
JJOFAEME_00141	CDS	1440	gtf1_1	2.4.1.-	COG0438	Glycosyltransferase Gtf1
JJOFAEME_00141	gene	1440	gtf1_1			
JJOFAEME_00142	CDS	849	gtf2			Glycosyltransferase stabilizing protein Gtf2
JJOFAEME_00142	gene	849	gtf2			
JJOFAEME_00143	CDS	558				hypothetical protein
JJOFAEME_00143	gene	558				
JJOFAEME_00144	CDS	183				hypothetical protein
JJOFAEME_00144	gene	183				
JJOFAEME_00145	CDS	987				hypothetical protein
JJOFAEME_00145	gene	987				
JJOFAEME_00146	CDS	1017	wbbI	2.4.1.-		Beta-1,6-galactofuranosyltransferase WbbI
JJOFAEME_00146	gene	1017	wbbI			
JJOFAEME_00147	CDS	384				hypothetical protein
JJOFAEME_00147	gene	384				
JJOFAEME_00148	CDS	1338				hypothetical protein
JJOFAEME_00148	gene	1338				
JJOFAEME_00149	CDS	1293	cna			Collagen adhesin
JJOFAEME_00149	gene	1293	cna			
JJOFAEME_00150	CDS	957				Alpha/beta hydrolase family protein
JJOFAEME_00150	gene	957				
JJOFAEME_00151	CDS	273		2.3.1.-		Acetyltransferase, GNAT family
JJOFAEME_00151	gene	273				
JJOFAEME_00152	CDS	237				preprotein translocase, SecG subunit
JJOFAEME_00152	gene	237				
JJOFAEME_00153	CDS	753		3.1.1.1		carboxylesterase
JJOFAEME_00153	gene	753				
JJOFAEME_00154	CDS	2361		3.1.-.-		ribonuclease R
JJOFAEME_00154	gene	2361				
JJOFAEME_00155	CDS	459	smpB			SsrA-binding protein
JJOFAEME_00155	gene	459	smpB			
JJOFAEME_00156	CDS	720	atpB	3.6.3.14		ATP synthase subunit C
JJOFAEME_00156	gene	720	atpB			
JJOFAEME_00157	CDS	213	atpE	3.6.3.14		ATP synthase F0, C subunit
JJOFAEME_00157	gene	213	atpE			
JJOFAEME_00158	CDS	525	atpF	3.6.3.14		ATP synthase F0, B subunit
JJOFAEME_00158	gene	525	atpF			
JJOFAEME_00159	CDS	543	atpH	3.6.3.14		ATP synthase F1 subunit delta
JJOFAEME_00159	gene	543	atpH			
JJOFAEME_00160	CDS	1557	atpA	3.6.3.14		ATP synthase F1, alpha subunit
JJOFAEME_00160	gene	1557	atpA			
JJOFAEME_00161	CDS	903	atpG	3.6.3.14		ATP synthase F1 subunit gamma
JJOFAEME_00161	gene	903	atpG			
JJOFAEME_00162	CDS	1407	atpD_1	3.6.3.14		ATP synthase F1 subunit beta
JJOFAEME_00162	gene	1407	atpD_1			
JJOFAEME_00163	CDS	423	atpC	3.6.3.14		ATP synthase F1 subunit epsilon
JJOFAEME_00163	gene	423	atpC			
JJOFAEME_00164	CDS	234				membrane protein
JJOFAEME_00164	gene	234				
JJOFAEME_00165	CDS	1293	murA2	2.5.1.7		UDP-N-acetylglucosamine 1-carboxyvinyltransferase
JJOFAEME_00165	gene	1293	murA2			
JJOFAEME_00166	CDS	177				hypothetical protein
JJOFAEME_00166	gene	177				
JJOFAEME_00167	CDS	276			COG0759	Putative membrane protein insertion efficiency factor
JJOFAEME_00167	gene	276				
JJOFAEME_00168	CDS	459		2.3.1.-		GNAT family acetyltransferase
JJOFAEME_00168	gene	459				
JJOFAEME_00169	CDS	882				ROK family protein
JJOFAEME_00169	gene	882				
JJOFAEME_00170	CDS	1188	braC		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
JJOFAEME_00170	gene	1188	braC			
JJOFAEME_00171	CDS	879	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
JJOFAEME_00171	gene	879	livH			
JJOFAEME_00172	CDS	978				hypothetical protein
JJOFAEME_00172	gene	978				
JJOFAEME_00173	CDS	777	metN2_1	3.6.3.-		ABC transporter ATP-binding protein
JJOFAEME_00173	gene	777	metN2_1			
JJOFAEME_00174	CDS	702		3.6.3.-		amino acid ABC transporter ATP-binding protein
JJOFAEME_00174	gene	702				
JJOFAEME_00175	CDS	648	guaB_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
JJOFAEME_00175	gene	648	guaB_1			
JJOFAEME_00176	CDS	234				hypothetical protein
JJOFAEME_00176	gene	234				
JJOFAEME_00177	tRNA	84				tRNA-Tyr(gta)
JJOFAEME_00177	gene	84				
JJOFAEME_00178	tRNA	75				tRNA-Gln(ttg)
JJOFAEME_00178	gene	75				
JJOFAEME_00179	CDS	183				hypothetical protein
JJOFAEME_00179	gene	183				
JJOFAEME_00180	CDS	708	pdeN	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
JJOFAEME_00180	gene	708	pdeN			
JJOFAEME_00181	CDS	1110				hypothetical protein
JJOFAEME_00181	gene	1110				
JJOFAEME_00182	CDS	1053				hypothetical protein
JJOFAEME_00182	gene	1053				
JJOFAEME_00183	CDS	1041				hypothetical protein
JJOFAEME_00183	gene	1041				
JJOFAEME_00184	CDS	2256	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
JJOFAEME_00184	gene	2256	bcsA			
JJOFAEME_00185	CDS	1830				hypothetical protein
JJOFAEME_00185	gene	1830				
JJOFAEME_00186	CDS	1905				transcriptional antiterminator bglG
JJOFAEME_00186	gene	1905				
JJOFAEME_00187	CDS	450		2.7.1.69		PTS system, fructose-specific IIA component
JJOFAEME_00187	gene	450				
JJOFAEME_00188	CDS	318		2.7.1.69		PTS system, fructose-specific IIBC component
JJOFAEME_00188	gene	318				
JJOFAEME_00189	CDS	1110		2.7.1.69		PTS system, fructose-specific IIBC component
JJOFAEME_00189	gene	1110				
JJOFAEME_00190	CDS	2586		3.2.1.-		glycosyl hydrolase family 38 protein
JJOFAEME_00190	gene	2586				
JJOFAEME_00191	CDS	855				glucose uptake protein
JJOFAEME_00191	gene	855				
JJOFAEME_00192	CDS	969				AraC family transcriptional regulator
JJOFAEME_00192	gene	969				
JJOFAEME_00193	CDS	2658				hypothetical protein
JJOFAEME_00193	gene	2658				
JJOFAEME_00194	CDS	1815		2.7.1.69		PTS system, beta-glucoside-specific IIABC component
JJOFAEME_00194	gene	1815				
JJOFAEME_00195	CDS	882				AraC family transcriptional regulator
JJOFAEME_00195	gene	882				
JJOFAEME_00196	CDS	1485		2.7.1.5		rhamnulokinase
JJOFAEME_00196	gene	1485				
JJOFAEME_00197	CDS	1254	rhaA	5.3.1.14		L-rhamnose isomerase
JJOFAEME_00197	gene	1254	rhaA			
JJOFAEME_00198	CDS	825	rhaD	4.1.2.19		rhamnulose-1-phosphate aldolase
JJOFAEME_00198	gene	825	rhaD			
JJOFAEME_00199	CDS	1152	fucO	1.1.1.77		Lactaldehyde reductase
JJOFAEME_00199	gene	1152	fucO			
JJOFAEME_00200	CDS	1479				transcriptional antiterminator bglG
JJOFAEME_00200	gene	1479				
JJOFAEME_00201	CDS	438				hypothetical protein
JJOFAEME_00201	gene	438				
JJOFAEME_00202	CDS	453		2.7.1.69		PTS system, fructose-specific IIA component
JJOFAEME_00202	gene	453				
JJOFAEME_00203	CDS	321		2.7.1.69		PTS system, fructose-specific IIBC component
