#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
data/samples/WS1-5.fasta	WS1_5_contig_1	112896	117851	fss2	1-4956/4956	===============	0/0	100.00	99.94	vfdb	NP_816151	vfdb~~~fss2~~~NP_816151 (fss2) Enterococcus faecalis surface protein Fss2 fibrinogen binding protein [Fibrinogen binding protein (AI272)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	125635	126450	cpsA	1-816/816	===============	0/0	100.00	100.00	vfdb	NP_816141	vfdb~~~cpsA~~~NP_816141 (cpsA) undecaprenyl diphosphate synthase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	126447	127247	cpsB	1-801/801	===============	0/0	100.00	99.88	vfdb	NP_816140	vfdb~~~cpsB~~~NP_816140 (cpsB) phosphatidate cytidylyltransferase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	127697	128866	cpsC	1-1170/1170	===============	0/0	100.00	100.00	vfdb	NP_816139	vfdb~~~cpsC~~~NP_816139 (cpsC) teichoic acid biosynthesis protein putative [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	128885	130351	cpsD	1-1467/1467	===============	0/0	100.00	100.00	vfdb	NP_816138	vfdb~~~cpsD~~~NP_816138 (cpsD) glycosyl transferase group 2 family protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	130421	132931	cpsE	1-2511/2511	===============	0/0	100.00	100.00	vfdb	NP_816137	vfdb~~~cpsE~~~NP_816137 (cpsE) glycosyl transferase group 2 family protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	132955	133806	cpsF	1-852/852	===============	0/0	100.00	100.00	vfdb	NP_816136	vfdb~~~cpsF~~~NP_816136 (cpsF) CpsF protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	133833	136286	cpsG	1-2454/2454	===============	0/0	100.00	99.96	vfdb	NP_816135	vfdb~~~cpsG~~~NP_816135 (cpsG) MurB family protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	136304	136702	cpsH	1-399/399	===============	0/0	100.00	100.00	vfdb	NP_816134	vfdb~~~cpsH~~~NP_816134 (cpsH) lipoprotein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	136761	137900	cpsI	1-1140/1140	===============	0/0	100.00	100.00	vfdb	NP_816133	vfdb~~~cpsI~~~NP_816133 (cpsI) UDP-galactopyranose mutase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	137926	139269	cpsJ	1-1344/1344	===============	0/0	100.00	100.00	vfdb	NP_816132	vfdb~~~cpsJ~~~NP_816132 (cpsJ) ABC transporter ATP-binding protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	139269	140081	cpsK	1-813/813	===============	0/0	100.00	100.00	vfdb	NP_816131	vfdb~~~cpsK~~~NP_816131 (cpsK) ABC transporter permease protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	397291	398217	efaA	1-927/927	===============	0/0	100.00	100.00	vfdb	NP_815739	vfdb~~~efaA~~~NP_815739 (efaA) endocarditis specific antigen [EfaA (VF0354)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	592556	593287	fsrA	1-732/732	===============	0/0	100.00	98.91	vfdb	NP_815519	vfdb~~~fsrA~~~NP_815519 (fsrA) response regulator [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	593376	594104	fsrB	1-729/729	===============	0/0	100.00	99.73	vfdb	NP_815518	vfdb~~~fsrB~~~NP_815518 (fsrB) agrBfs protein [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	594101	595444	fsrC	1-1344/1344	===============	0/0	100.00	100.00	vfdb	NP_815517	vfdb~~~fsrC~~~NP_815517 (fsrC) histidine kinase putative [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	595679	597211	gelE	1-1533/1533	===============	0/0	100.00	100.00	vfdb	NP_815516	vfdb~~~gelE~~~NP_815516 (gelE) coccolysin [Gelatinase (VF0357)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	597260	598114	sprE	1-855/855	===============	0/0	100.00	100.00	vfdb	NP_815515	vfdb~~~sprE~~~NP_815515 (sprE) serine proteinase V8 family [SprE (VF0358)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	1242043	1243609	ace	1-1581/2025	========/===...	1/14	77.38	96.14	vfdb	NP_814829	vfdb~~~ace~~~NP_814829 (ace) collagen adhesin protein [Ace (VF0355)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	1246690	1247544	srtC	1-855/855	===============	0/0	100.00	100.00	vfdb	NP_814824	vfdb~~~srtC~~~NP_814824 (srtC) sortase [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	1247638	1249521	ebpC	1-1878/1878	========/======	1/6	100.00	99.68	vfdb	NP_814823	vfdb~~~ebpC~~~NP_814823 (ebpC) endocarditis and biofilm-associated pilus major subunit EbpC [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	1249518	1250948	ebpB	1-1431/1431	===============	0/0	100.00	99.79	vfdb	NP_814822	vfdb~~~ebpB~~~NP_814822 (ebpB) endocarditis and biofilm-associated pilus minor subunit EbpB [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_1	1250952	1254263	ebpA	1-3312/3312	===============	0/0	100.00	99.94	vfdb	NP_814821	vfdb~~~ebpA~~~NP_814821 (ebpA) endocarditis and biofilm-associated pilus tip protein EbpA [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_2	265196	268291	EF3023	1-3096/4119	============...	0/0	75.16	100.00	vfdb	NP_816637	vfdb~~~EF3023~~~NP_816637 (EF3023) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_2	268454	268742	EF3023	3831-4119/4119	.............==	0/0	7.02	100.00	vfdb	NP_816637	vfdb~~~EF3023~~~NP_816637 (EF3023) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_3	15053	18067	EF0818	1-3015/3015	===============	0/0	100.00	99.90	vfdb	NP_814561	vfdb~~~EF0818~~~NP_814561 (EF0818) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_3	275483	276465	cylI	1-984/984	========/======	3/3	99.80	96.34	vfdb	AAM75254	vfdb~~~cylI~~~AAM75254 (cylI) cytolysin immunity protein [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]
data/samples/WS1-5.fasta	WS1_5_contig_3	276466	276536	cylA	1169-1239/1239	..............=	0/0	5.73	95.78	vfdb	AAM75253	vfdb~~~cylA~~~AAM75253 (cylA) cytolysin activator [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]
data/samples/WS1-5.fasta	WS1_5_contig_3	352929	356846	EF0485	1-3918/3918	===============	0/0	100.00	97.30	vfdb	NP_814266	vfdb~~~EF0485~~~NP_814266 (EF0485) aggregation substance [AS (VF0352)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_6	102097	108058	fss1	1-5964/5964	========/======	1/2	99.97	98.98	vfdb	NP_813892	vfdb~~~fss1~~~NP_813892 (fss1) Enterococcus faecalis surface protein Fss1 fibrinogen binding protein [Fibrinogen binding protein (AI271)] [Enterococcus faecalis V583]
data/samples/WS1-5.fasta	WS1_5_contig_7	117429	118439	bopD	1-1011/1011	===============	0/0	100.00	99.90	vfdb	NP_814691	vfdb~~~bopD~~~NP_814691 (bopD) sugar-binding transcriptional regulator LacI family [BopD (VF0362)] [Enterococcus faecalis V583]
