locus_tag	ftype	length_bp	gene	EC_number	COG	product
HOMGNHKM_00001	CDS	291		5.1.3.2		UDP-glucose 4-epimerase
HOMGNHKM_00001	gene	291				
HOMGNHKM_00002	CDS	1215		2.7.7.12		galactose-1-phosphate uridylyltransferase
HOMGNHKM_00002	gene	1215				
HOMGNHKM_00003	CDS	1761		2.7.7.7		DNA polymerase III subunits gamma and tau
HOMGNHKM_00003	gene	1761				
HOMGNHKM_00004	CDS	315			COG0718	Nucleoid-associated protein
HOMGNHKM_00004	gene	315				
HOMGNHKM_00005	CDS	531				hypothetical protein
HOMGNHKM_00005	gene	531				
HOMGNHKM_00006	CDS	819	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
HOMGNHKM_00006	gene	819	thiM			
HOMGNHKM_00007	CDS	636	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
HOMGNHKM_00007	gene	636	thiE			
HOMGNHKM_00008	CDS	831		2.7.1.49		phosphomethylpyrimidine kinase
HOMGNHKM_00008	gene	831				
HOMGNHKM_00009	CDS	357	ytcD_1		COG1733	putative HTH-type transcriptional regulator YtcD
HOMGNHKM_00009	gene	357	ytcD_1			
HOMGNHKM_00010	CDS	1191	ydhP		COG2814	Inner membrane transport protein YdhP
HOMGNHKM_00010	gene	1191	ydhP			
HOMGNHKM_00011	CDS	1362				major facilitator superfamily transporter
HOMGNHKM_00011	gene	1362				
HOMGNHKM_00012	CDS	786				hypothetical protein
HOMGNHKM_00012	gene	786				
HOMGNHKM_00013	CDS	564	ykoE		COG4721	Putative HMP/thiamine permease protein YkoE
HOMGNHKM_00013	gene	564	ykoE			
HOMGNHKM_00014	CDS	1359				ABC transporter ATP-binding protein
HOMGNHKM_00014	gene	1359				
HOMGNHKM_00015	CDS	654				hypothetical protein
HOMGNHKM_00015	gene	654				
HOMGNHKM_00016	CDS	663	tenA	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
HOMGNHKM_00016	gene	663	tenA			
HOMGNHKM_00017	CDS	597	recR			recombination protein RecR
HOMGNHKM_00017	gene	597	recR			
HOMGNHKM_00018	CDS	639	tmk	2.7.4.9		thymidylate kinase
HOMGNHKM_00018	gene	639	tmk			
HOMGNHKM_00019	CDS	330	yaaQ		COG3870	putative protein YaaQ
HOMGNHKM_00019	gene	330	yaaQ			
HOMGNHKM_00020	CDS	951		2.7.7.7		DNA polymerase III subunit delta'
HOMGNHKM_00020	gene	951				
