#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
data/samples/HW1-1.fasta	HW1_1_contig_10	101289	102299	bopD	1-1011/1011	===============	0/0	100.00	99.11	vfdb	NP_814691	vfdb~~~bopD~~~NP_814691 (bopD) sugar-binding transcriptional regulator LacI family [BopD (VF0362)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_13	90516	91442	efaA	1-927/927	===============	0/0	100.00	100.00	vfdb	NP_815739	vfdb~~~efaA~~~NP_815739 (efaA) endocarditis specific antigen [EfaA (VF0354)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_16	1	394	EF3023	3726-4119/4119	.............==	0/0	9.57	99.49	vfdb	NP_816637	vfdb~~~EF3023~~~NP_816637 (EF3023) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_2	241489	244503	EF0818	1-3015/3015	===============	0/0	100.00	99.70	vfdb	NP_814561	vfdb~~~EF0818~~~NP_814561 (EF0818) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_3	78370	78748	ace	1647-2025/2025	............===	0/0	18.72	97.36	vfdb	NP_814829	vfdb~~~ace~~~NP_814829 (ace) collagen adhesin protein [Ace (VF0355)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_3	78673	79830	ace	1-1158/2025	=========......	0/0	57.19	99.91	vfdb	NP_814829	vfdb~~~ace~~~NP_814829 (ace) collagen adhesin protein [Ace (VF0355)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_3	82911	83765	srtC	1-855/855	===============	0/0	100.00	100.00	vfdb	NP_814824	vfdb~~~srtC~~~NP_814824 (srtC) sortase [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_3	83859	85742	ebpC	1-1878/1878	========/======	1/6	100.00	99.68	vfdb	NP_814823	vfdb~~~ebpC~~~NP_814823 (ebpC) endocarditis and biofilm-associated pilus major subunit EbpC [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_3	85739	87169	ebpB	1-1431/1431	===============	0/0	100.00	99.51	vfdb	NP_814822	vfdb~~~ebpB~~~NP_814822 (ebpB) endocarditis and biofilm-associated pilus minor subunit EbpB [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_3	87173	90484	ebpA	1-3312/3312	===============	0/0	100.00	99.25	vfdb	NP_814821	vfdb~~~ebpA~~~NP_814821 (ebpA) endocarditis and biofilm-associated pilus tip protein EbpA [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_5	6231	7085	sprE	1-855/855	===============	0/0	100.00	100.00	vfdb	NP_815515	vfdb~~~sprE~~~NP_815515 (sprE) serine proteinase V8 family [SprE (VF0358)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_5	7134	8666	gelE	1-1533/1533	===============	0/0	100.00	100.00	vfdb	NP_815516	vfdb~~~gelE~~~NP_815516 (gelE) coccolysin [Gelatinase (VF0357)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_5	8901	10244	fsrC	1-1344/1344	===============	0/0	100.00	100.00	vfdb	NP_815517	vfdb~~~fsrC~~~NP_815517 (fsrC) histidine kinase putative [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_5	10241	10969	fsrB	1-729/729	===============	0/0	100.00	100.00	vfdb	NP_815518	vfdb~~~fsrB~~~NP_815518 (fsrB) agrBfs protein [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_5	11058	11789	fsrA	1-732/732	===============	0/0	100.00	100.00	vfdb	NP_815519	vfdb~~~fsrA~~~NP_815519 (fsrA) response regulator [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_6	18997	19809	cpsK	1-813/813	===============	0/0	100.00	100.00	vfdb	NP_816131	vfdb~~~cpsK~~~NP_816131 (cpsK) ABC transporter permease protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_6	19809	21152	cpsJ	1-1344/1344	===============	0/0	100.00	100.00	vfdb	NP_816132	vfdb~~~cpsJ~~~NP_816132 (cpsJ) ABC transporter ATP-binding protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/HW1-1.fasta	HW1_1_contig_6	21178	22317	cpsI	1-1140/1140	===============	0/0	100.00	100.00	vfdb	NP_816133	vfdb~~~cpsI~~~NP_816133 (cpsI) UDP-galactopyranose mutase [Capsule (VF0361)] [Enterococcus faecalis V583]
