locus_tag	ftype	length_bp	gene	EC_number	COG	product
BEFOAEEH_00001	CDS	363				hypothetical protein
BEFOAEEH_00001	gene	363				
BEFOAEEH_00002	CDS	369				general stress protein 13
BEFOAEEH_00002	gene	369				
BEFOAEEH_00003	CDS	1167		2.6.1.-		class II aminotransferase
BEFOAEEH_00003	gene	1167				
BEFOAEEH_00004	CDS	207				hypothetical protein
BEFOAEEH_00004	gene	207				
BEFOAEEH_00005	CDS	591		5.2.1.8		cyclophilin type peptidyl-prolyl cis-trans isomerase
BEFOAEEH_00005	gene	591				
BEFOAEEH_00006	CDS	1011		1.18.1.2		ferredoxin--NADP reductase
BEFOAEEH_00006	gene	1011				
BEFOAEEH_00007	CDS	963		1.1.1.290		4-phosphoerythronate dehydrogenase
BEFOAEEH_00007	gene	963				
BEFOAEEH_00008	CDS	1554	yfkN_1		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
BEFOAEEH_00008	gene	1554	yfkN_1			
BEFOAEEH_00009	CDS	1281				extracellular solute-binding protein
BEFOAEEH_00009	gene	1281				
BEFOAEEH_00010	CDS	1290	rnj	3.1.-.-		Ribonuclease J
BEFOAEEH_00010	gene	1290	rnj			
BEFOAEEH_00011	CDS	819				inner membrane component transport system
BEFOAEEH_00011	gene	819				
BEFOAEEH_00012	CDS	876				ABC transporter ATP-binding protein
BEFOAEEH_00012	gene	876				
BEFOAEEH_00013	CDS	1071	msmK_1			ABC transporter ATP-binding protein
BEFOAEEH_00013	gene	1071	msmK_1			
BEFOAEEH_00014	CDS	939		2.4.1.-		glycosyl transferase family protein
BEFOAEEH_00014	gene	939				
BEFOAEEH_00015	CDS	312				HesB-like domain-containing protein
BEFOAEEH_00015	gene	312				
BEFOAEEH_00016	CDS	666				TrkA-C domain-containing protein
BEFOAEEH_00016	gene	666				
BEFOAEEH_00017	CDS	633				LuxR family DNA-binding response regulator
BEFOAEEH_00017	gene	633				
BEFOAEEH_00018	CDS	1104		2.7.13.3		sensor histidine kinase
BEFOAEEH_00018	gene	1104				
BEFOAEEH_00019	CDS	732				membrane protein
BEFOAEEH_00019	gene	732				
BEFOAEEH_00020	CDS	480	greA			transcription elongation factor GreA
BEFOAEEH_00020	gene	480	greA			
BEFOAEEH_00021	CDS	1386	mltG	4.2.2.-		Endolytic murein transglycosylase
BEFOAEEH_00021	gene	1386	mltG			
BEFOAEEH_00022	CDS	726		3.1.3.5	COG0546	5'-nucleotidase
BEFOAEEH_00022	gene	726				
BEFOAEEH_00023	CDS	1149	mnaA	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
BEFOAEEH_00023	gene	1149	mnaA			
BEFOAEEH_00024	CDS	492		2.3.1.-		Carbonic anhydrase/acetyltransferase
BEFOAEEH_00024	gene	492				
BEFOAEEH_00025	CDS	1770				ABC transporter ATP-binding protein/permease
BEFOAEEH_00025	gene	1770				
BEFOAEEH_00026	CDS	1728				ABC transporter ATP-binding protein/permease
BEFOAEEH_00026	gene	1728				
BEFOAEEH_00027	CDS	387				hypothetical protein
BEFOAEEH_00027	gene	387				
BEFOAEEH_00028	CDS	213				hypothetical protein
BEFOAEEH_00028	gene	213				
BEFOAEEH_00029	CDS	1686	rnjA	3.1.-.-		Ribonuclease J 1
BEFOAEEH_00029	gene	1686	rnjA			
BEFOAEEH_00030	CDS	201	cspE			major cold shock protein CspE
BEFOAEEH_00030	gene	201	cspE			
BEFOAEEH_00031	CDS	699	radC			DNA repair protein RadC
BEFOAEEH_00031	gene	699	radC			
BEFOAEEH_00032	CDS	657		3.-.-.-		HAD-superfamily hydrolase
BEFOAEEH_00032	gene	657				
BEFOAEEH_00033	CDS	1323		6.3.2.17		Folylpolyglutamate synthase
BEFOAEEH_00033	gene	1323				
BEFOAEEH_00034	CDS	2565	yfhO_1			Bacterial membrane protein YfhO
BEFOAEEH_00034	gene	2565	yfhO_1			
BEFOAEEH_00035	CDS	600				hypothetical protein
BEFOAEEH_00035	gene	600				
BEFOAEEH_00036	CDS	2643	valS	6.1.1.9		valyl-tRNA synthetase
BEFOAEEH_00036	gene	2643	valS			
BEFOAEEH_00037	CDS	489	tpx	1.11.1.15	COG2077	Thiol peroxidase
BEFOAEEH_00037	gene	489	tpx			
BEFOAEEH_00038	CDS	648	rex2			redox-sensing transcriptional repressor Rex
BEFOAEEH_00038	gene	648	rex2			
BEFOAEEH_00039	CDS	1215	thiI	2.8.1.4		thiamine biosynthesis protein ThiI
BEFOAEEH_00039	gene	1215	thiI			
BEFOAEEH_00040	CDS	1119	xerC_1			site-specific tyrosine recombinase XerC-family protein
BEFOAEEH_00040	gene	1119	xerC_1			
BEFOAEEH_00041	CDS	213				hypothetical protein
BEFOAEEH_00041	gene	213				
BEFOAEEH_00042	CDS	357				hypothetical protein
BEFOAEEH_00042	gene	357				
BEFOAEEH_00043	CDS	537				hypothetical protein
BEFOAEEH_00043	gene	537				
BEFOAEEH_00044	CDS	225				hypothetical protein
BEFOAEEH_00044	gene	225				
BEFOAEEH_00045	CDS	1029				hypothetical protein
BEFOAEEH_00045	gene	1029				
BEFOAEEH_00046	CDS	2046				hypothetical protein
BEFOAEEH_00046	gene	2046				
BEFOAEEH_00047	CDS	2505				ATP/GTP-binding protein
BEFOAEEH_00047	gene	2505				
BEFOAEEH_00048	CDS	390				hypothetical protein
BEFOAEEH_00048	gene	390				
BEFOAEEH_00049	CDS	225				hypothetical protein
BEFOAEEH_00049	gene	225				
BEFOAEEH_00050	CDS	987				hypothetical protein
BEFOAEEH_00050	gene	987				
BEFOAEEH_00051	CDS	468				hypothetical protein
BEFOAEEH_00051	gene	468				
BEFOAEEH_00052	CDS	552				hypothetical protein
BEFOAEEH_00052	gene	552				
BEFOAEEH_00053	CDS	729				hypothetical protein
BEFOAEEH_00053	gene	729				
BEFOAEEH_00054	CDS	1980				hypothetical protein
BEFOAEEH_00054	gene	1980				
BEFOAEEH_00055	CDS	225				hypothetical protein
BEFOAEEH_00055	gene	225				
BEFOAEEH_00056	CDS	369				hypothetical protein
BEFOAEEH_00056	gene	369				
BEFOAEEH_00057	CDS	225				hypothetical protein
BEFOAEEH_00057	gene	225				
BEFOAEEH_00058	CDS	1284				helix-turn-helix protein
BEFOAEEH_00058	gene	1284				
BEFOAEEH_00059	CDS	408				hypothetical protein
BEFOAEEH_00059	gene	408				
BEFOAEEH_00060	CDS	288				hypothetical protein
BEFOAEEH_00060	gene	288				
BEFOAEEH_00061	CDS	279				hypothetical protein
BEFOAEEH_00061	gene	279				
BEFOAEEH_00062	CDS	1509				FtsK/SpoIIIE family protein
BEFOAEEH_00062	gene	1509				
BEFOAEEH_00063	CDS	381				hypothetical protein
BEFOAEEH_00063	gene	381				
BEFOAEEH_00064	CDS	327				hypothetical protein
