#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_10	6252	7106	sprE	1-855/855	===============	0/0	100.00	98.71	vfdb	NP_815515	vfdb~~~sprE~~~NP_815515 (sprE) serine proteinase V8 family [SprE (VF0358)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_10	7155	8687	gelE	1-1533/1533	===============	0/0	100.00	98.76	vfdb	NP_815516	vfdb~~~gelE~~~NP_815516 (gelE) coccolysin [Gelatinase (VF0357)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_10	8922	10265	fsrC	1-1344/1344	===============	0/0	100.00	99.41	vfdb	NP_815517	vfdb~~~fsrC~~~NP_815517 (fsrC) histidine kinase putative [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_10	10262	10990	fsrB	1-729/729	===============	0/0	100.00	99.59	vfdb	NP_815518	vfdb~~~fsrB~~~NP_815518 (fsrB) agrBfs protein [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_10	11079	11810	fsrA	1-732/732	===============	0/0	100.00	99.04	vfdb	NP_815519	vfdb~~~fsrA~~~NP_815519 (fsrA) response regulator [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_12	39804	40730	efaA	1-927/927	===============	0/0	100.00	99.25	vfdb	NP_815739	vfdb~~~efaA~~~NP_815739 (efaA) endocarditis specific antigen [EfaA (VF0354)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_3	1	3097	EF3023	1-3097/4119	============...	0/0	75.19	100.00	vfdb	NP_816637	vfdb~~~EF3023~~~NP_816637 (EF3023) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_5	133473	139436	fss1	1-5964/5964	===============	0/0	100.00	98.58	vfdb	NP_813892	vfdb~~~fss1~~~NP_813892 (fss1) Enterococcus faecalis surface protein Fss1 fibrinogen binding protein [Fibrinogen binding protein (AI271)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_6	103549	104559	bopD	1-1011/1011	===============	0/0	100.00	99.31	vfdb	NP_814691	vfdb~~~bopD~~~NP_814691 (bopD) sugar-binding transcriptional regulator LacI family [BopD (VF0362)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_7	229606	233477	fss2	1-3872/4956	============...	0/0	78.13	97.34	vfdb	NP_816151	vfdb~~~fss2~~~NP_816151 (fss2) Enterococcus faecalis surface protein Fss2 fibrinogen binding protein [Fibrinogen binding protein (AI272)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_7	241694	242509	cpsA	1-816/816	===============	0/0	100.00	99.51	vfdb	NP_816141	vfdb~~~cpsA~~~NP_816141 (cpsA) undecaprenyl diphosphate synthase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_7	242506	243306	cpsB	1-801/801	===============	0/0	100.00	98.88	vfdb	NP_816140	vfdb~~~cpsB~~~NP_816140 (cpsB) phosphatidate cytidylyltransferase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_8	658807	660246	ace	1-1440/2025	===========....	0/0	71.11	96.88	vfdb	NP_814829	vfdb~~~ace~~~NP_814829 (ace) collagen adhesin protein [Ace (VF0355)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_8	665778	666622	srtC	1-845/855	===============	0/0	98.83	99.53	vfdb	NP_814824	vfdb~~~srtC~~~NP_814824 (srtC) sortase [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_8	666716	668599	ebpC	1-1878/1878	========/======	1/6	100.00	99.05	vfdb	NP_814823	vfdb~~~ebpC~~~NP_814823 (ebpC) endocarditis and biofilm-associated pilus major subunit EbpC [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_8	668596	670026	ebpB	1-1431/1431	===============	0/0	100.00	99.37	vfdb	NP_814822	vfdb~~~ebpB~~~NP_814822 (ebpB) endocarditis and biofilm-associated pilus minor subunit EbpB [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_8	670030	673341	ebpA	1-3312/3312	===============	0/0	100.00	99.00	vfdb	NP_814821	vfdb~~~ebpA~~~NP_814821 (ebpA) endocarditis and biofilm-associated pilus tip protein EbpA [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/MP2-6.fasta	MP2_6_DIV1232B_contig_9	340394	343408	EF0818	1-3015/3015	===============	0/0	100.00	99.17	vfdb	NP_814561	vfdb~~~EF0818~~~NP_814561 (EF0818) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
