locus_tag	ftype	length_bp	gene	EC_number	COG	product
ODAPGGNM_00001	CDS	1896				ABC transporter ATP-binding protein
ODAPGGNM_00001	gene	1896				
ODAPGGNM_00002	CDS	948	thyA	2.1.1.45		thymidylate synthase
ODAPGGNM_00002	gene	948	thyA			
ODAPGGNM_00003	CDS	495	dfrD_1	1.5.1.3		dihydrofolate reductase
ODAPGGNM_00003	gene	495	dfrD_1			
ODAPGGNM_00004	CDS	1170				iron-sulfur cluster-binding protein
ODAPGGNM_00004	gene	1170				
ODAPGGNM_00005	CDS	621	lexA	3.4.21.88		LexA repressor
ODAPGGNM_00005	gene	621	lexA			
ODAPGGNM_00006	CDS	243				hypothetical protein
ODAPGGNM_00006	gene	243				
ODAPGGNM_00007	CDS	1995	tkt	2.2.1.1		transketolase
ODAPGGNM_00007	gene	1995	tkt			
ODAPGGNM_00008	CDS	1191				major facilitator family transporter
ODAPGGNM_00008	gene	1191				
ODAPGGNM_00009	CDS	861		3.5.1.28		N-acetylmuramoyl-L-alanine amidase
ODAPGGNM_00009	gene	861				
ODAPGGNM_00010	CDS	933		2.5.1.47		cysteine synthase A
ODAPGGNM_00010	gene	933				
ODAPGGNM_00011	CDS	444	perR			Fur family transcriptional regulator
ODAPGGNM_00011	gene	444	perR			
ODAPGGNM_00012	CDS	1341	nox	1.6.99.3		NADH oxidase
ODAPGGNM_00012	gene	1341	nox			
ODAPGGNM_00013	CDS	609		3.6.1.-		NUDIX family hydrolase
ODAPGGNM_00013	gene	609				
ODAPGGNM_00014	CDS	471				hypothetical protein
ODAPGGNM_00014	gene	471				
ODAPGGNM_00015	CDS	528		2.3.1.-		GNAT family acetyltransferase
ODAPGGNM_00015	gene	528				
ODAPGGNM_00016	CDS	819				AraC family transcriptional regulator
ODAPGGNM_00016	gene	819				
ODAPGGNM_00017	CDS	1749				ABC transporter ATP-binding protein/permease
ODAPGGNM_00017	gene	1749				
ODAPGGNM_00018	CDS	1779				ABC transporter ATP-binding protein/permease
ODAPGGNM_00018	gene	1779				
ODAPGGNM_00019	CDS	426	rppH	3.6.1.-		RNA pyrophosphohydrolase
ODAPGGNM_00019	gene	426	rppH			
ODAPGGNM_00020	CDS	1011				hypothetical protein
ODAPGGNM_00020	gene	1011				
ODAPGGNM_00021	CDS	1437	katA	1.11.1.6	COG0753	Vegetative catalase
ODAPGGNM_00021	gene	1437	katA			
ODAPGGNM_00022	CDS	1434	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
ODAPGGNM_00022	gene	1434	phrB			
ODAPGGNM_00023	CDS	846				helix-turn-helix domain-containing protein
ODAPGGNM_00023	gene	846				
ODAPGGNM_00024	CDS	1929		2.7.1.69		PTS system, trehalose/maltose-specific, IIBCA component
ODAPGGNM_00024	gene	1929				
ODAPGGNM_00025	CDS	1674		3.2.1.1		alpha amylase
ODAPGGNM_00025	gene	1674				
ODAPGGNM_00026	CDS	1473				Glycosyl hydrolase
ODAPGGNM_00026	gene	1473				
ODAPGGNM_00027	CDS	984				LacI family transcription regulator
ODAPGGNM_00027	gene	984				
ODAPGGNM_00028	CDS	162				hypothetical protein
ODAPGGNM_00028	gene	162				
ODAPGGNM_00029	CDS	1410		3.2.1.86		6-phospho-beta-glucosidase
ODAPGGNM_00029	gene	1410				
ODAPGGNM_00030	CDS	1881		2.7.1.69		PTS system, beta-glucoside-specific IIABC component
ODAPGGNM_00030	gene	1881				
ODAPGGNM_00031	CDS	1461		2.7.8.-		cardiolipin synthetase
ODAPGGNM_00031	gene	1461				
ODAPGGNM_00032	CDS	552				hypothetical protein
ODAPGGNM_00032	gene	552				
ODAPGGNM_00033	CDS	885				hypothetical protein
ODAPGGNM_00033	gene	885				
ODAPGGNM_00034	CDS	927	ppaC	3.6.1.1		manganese-dependent inorganic pyrophosphatase
ODAPGGNM_00034	gene	927	ppaC			
ODAPGGNM_00035	CDS	765		1.97.1.4		pyruvate formate-lyase activating enzyme
ODAPGGNM_00035	gene	765				
ODAPGGNM_00036	CDS	2247		2.3.1.54		formate acetyltransferase
ODAPGGNM_00036	gene	2247				
ODAPGGNM_00037	CDS	2463	parC	5.99.1.-		DNA topoisomerase IV subunit A
ODAPGGNM_00037	gene	2463	parC			
ODAPGGNM_00038	CDS	2058	parE	5.99.1.-		DNA topoisomerase IV subunit B
ODAPGGNM_00038	gene	2058	parE			
ODAPGGNM_00039	CDS	429				CoA-binding protein
ODAPGGNM_00039	gene	429				
ODAPGGNM_00040	CDS	444	eutQ		COG4766	Ethanolamine utilization protein EutQ
ODAPGGNM_00040	gene	444	eutQ			
ODAPGGNM_00041	CDS	1101				hypothetical protein
ODAPGGNM_00041	gene	1101				
ODAPGGNM_00042	CDS	264	ccmL			Carbon dioxide concentrating mechanism protein CcmL
ODAPGGNM_00042	gene	264	ccmL			
ODAPGGNM_00043	CDS	600				hypothetical protein
ODAPGGNM_00043	gene	600				
ODAPGGNM_00044	CDS	627	pduL	2.3.1.222	COG4869	Phosphate propanoyltransferase
ODAPGGNM_00044	gene	627	pduL			
ODAPGGNM_00045	CDS	570				hypothetical protein
ODAPGGNM_00045	gene	570				
ODAPGGNM_00046	CDS	291	pduA		COG4577	Propanediol utilization protein PduA
ODAPGGNM_00046	gene	291	pduA			
ODAPGGNM_00047	CDS	1479		1.1.1.1		aldehyde-alcohol dehydrogenase
ODAPGGNM_00047	gene	1479				
ODAPGGNM_00048	CDS	519				hypothetical protein
ODAPGGNM_00048	gene	519				
ODAPGGNM_00049	CDS	654	eutL		COG4816	Ethanolamine utilization protein EutL
ODAPGGNM_00049	gene	654	eutL			
ODAPGGNM_00050	CDS	912	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
ODAPGGNM_00050	gene	912	eutC			
ODAPGGNM_00051	CDS	1365	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
ODAPGGNM_00051	gene	1365	eutB			
ODAPGGNM_00052	CDS	1425				hypothetical protein
ODAPGGNM_00052	gene	1425				
ODAPGGNM_00053	CDS	1434				hypothetical protein
ODAPGGNM_00053	gene	1434				
ODAPGGNM_00054	CDS	582	pdtaR		COG3707	putative transcriptional regulatory protein pdtaR
ODAPGGNM_00054	gene	582	pdtaR			
ODAPGGNM_00055	CDS	348	pduU		COG4810	Propanediol utilization protein PduU
ODAPGGNM_00055	gene	348	pduU			
ODAPGGNM_00056	CDS	1131		1.1.1.1		aldehyde-alcohol dehydrogenase
ODAPGGNM_00056	gene	1131				
ODAPGGNM_00057	CDS	582	yvqK	2.5.1.17	COG2096	Cob(I)yrinic acid a,c-diamide adenosyltransferase
ODAPGGNM_00057	gene	582	yvqK			
ODAPGGNM_00058	CDS	444	pduV		COG4917	Propanediol utilization protein PduV
ODAPGGNM_00058	gene	444	pduV			
ODAPGGNM_00059	CDS	768	yclP_1	3.6.3.-		iron ABC transporter ATP-binding protein
ODAPGGNM_00059	gene	768	yclP_1			
ODAPGGNM_00060	CDS	1008	fhuB_1			ferrichrome transport system permease FhuB
ODAPGGNM_00060	gene	1008	fhuB_1			
ODAPGGNM_00061	CDS	960	btuF			Vitamin B12-binding protein
ODAPGGNM_00061	gene	960	btuF			
ODAPGGNM_00062	CDS	630	plsY	2.3.1.15		acyl-phosphate glycerol 3-phosphate acyltransferase
ODAPGGNM_00062	gene	630	plsY			
ODAPGGNM_00063	CDS	876		5.1.3.3		aldose 1-epimerase
ODAPGGNM_00063	gene	876				
ODAPGGNM_00064	CDS	783	codY			GTP-sensing transcriptional pleiotropic repressor CodY
ODAPGGNM_00064	gene	783	codY			
ODAPGGNM_00065	CDS	1404	hslU	3.4.25.-		ATP-dependent carboxylate-amine ligase
ODAPGGNM_00065	gene	1404	hslU			
ODAPGGNM_00066	CDS	549	hslV	3.4.25.-		ATP-dependent protease HslVU, peptidase subunit
ODAPGGNM_00066	gene	549	hslV			
ODAPGGNM_00067	CDS	900	xerC_1			site-specific tyrosine recombinase XerC-family protein
ODAPGGNM_00067	gene	900	xerC_1			
ODAPGGNM_00068	CDS	1308		2.1.1.74		glucose inhibited division protein
ODAPGGNM_00068	gene	1308				
ODAPGGNM_00069	CDS	2079	topA	5.99.1.2		DNA topoisomerase I
ODAPGGNM_00069	gene	2079	topA			
ODAPGGNM_00070	CDS	654				hypothetical protein
ODAPGGNM_00070	gene	654				
ODAPGGNM_00071	CDS	864	dprA			DNA processing protein DprA
ODAPGGNM_00071	gene	864	dprA			
ODAPGGNM_00072	CDS	768		3.1.26.4		ribonuclease HII
ODAPGGNM_00072	gene	768				
ODAPGGNM_00073	CDS	852	ylqF			ribosome biogenesis GTP-binding protein YlqF
ODAPGGNM_00073	gene	852	ylqF			
ODAPGGNM_00074	CDS	942		1.1.1.169		2-dehydropantoate 2-reductase
ODAPGGNM_00074	gene	942				
ODAPGGNM_00075	CDS	891				LysR family transcriptional regulator
ODAPGGNM_00075	gene	891				
ODAPGGNM_00076	CDS	1053				membrane protein
ODAPGGNM_00076	gene	1053				
ODAPGGNM_00077	CDS	1299		2.3.1.61		dihydrolipoamide S-succinyltransferase
ODAPGGNM_00077	gene	1299				
ODAPGGNM_00078	CDS	987	pdhB_1	1.2.4.1		transketolase
ODAPGGNM_00078	gene	987	pdhB_1			
ODAPGGNM_00079	CDS	987	pdhA_1	1.2.4.1		pyruvate dehydrogenase E1 component subunit alpha
