#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
data/samples/HT2-4.fasta	HT2_4_contig_1	394873	395799	efaA	1-927/927	===============	0/0	100.00	99.68	vfdb	NP_815739	vfdb~~~efaA~~~NP_815739 (efaA) endocarditis specific antigen [EfaA (VF0354)] [Enterococcus faecalis V583]
data/samples/HT2-4.fasta	HT2_4_contig_1	661412	662212	cpsB	1-801/801	===============	0/0	100.00	99.50	vfdb	NP_816140	vfdb~~~cpsB~~~NP_816140 (cpsB) phosphatidate cytidylyltransferase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/HT2-4.fasta	HT2_4_contig_1	662209	663024	cpsA	1-816/816	===============	0/0	100.00	99.39	vfdb	NP_816141	vfdb~~~cpsA~~~NP_816141 (cpsA) undecaprenyl diphosphate synthase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/HT2-4.fasta	HT2_4_contig_1	671248	675122	fss2	1-3872/4956	========/===...	4/7	78.09	95.00	vfdb	NP_816151	vfdb~~~fss2~~~NP_816151 (fss2) Enterococcus faecalis surface protein Fss2 fibrinogen binding protein [Fibrinogen binding protein (AI272)] [Enterococcus faecalis V583]
data/samples/HT2-4.fasta	HT2_4_contig_2	122105	125541	EF3023	1-3437/4119	=============..	0/0	83.44	99.16	vfdb	NP_816637	vfdb~~~EF3023~~~NP_816637 (EF3023) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/HT2-4.fasta	HT2_4_contig_3	47072	50086	EF0818	1-3015/3015	===============	0/0	100.00	99.34	vfdb	NP_814561	vfdb~~~EF0818~~~NP_814561 (EF0818) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/HT2-4.fasta	HT2_4_contig_3	182684	183694	bopD	1-1011/1011	===============	0/0	100.00	98.91	vfdb	NP_814691	vfdb~~~bopD~~~NP_814691 (bopD) sugar-binding transcriptional regulator LacI family [BopD (VF0362)] [Enterococcus faecalis V583]
data/samples/HT2-4.fasta	HT2_4_contig_5	153123	159086	fss1	1-5964/5964	===============	0/0	100.00	98.81	vfdb	NP_813892	vfdb~~~fss1~~~NP_813892 (fss1) Enterococcus faecalis surface protein Fss1 fibrinogen binding protein [Fibrinogen binding protein (AI271)] [Enterococcus faecalis V583]
data/samples/HT2-4.fasta	HT2_4_contig_6	17294	21211	prgB/asc10	1-3918/3918	===============	0/0	100.00	96.53	vfdb	NP_817031	vfdb~~~prgB/asc10~~~NP_817031 (prgB/asc10) aggregation substance PrgB/Asc10 [AS (VF0352)] [Enterococcus faecalis V583]
data/samples/HT2-4.fasta	HT2_4_contig_7	32900	36211	ebpA	1-3312/3312	===============	0/0	100.00	99.22	vfdb	NP_814821	vfdb~~~ebpA~~~NP_814821 (ebpA) endocarditis and biofilm-associated pilus tip protein EbpA [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/HT2-4.fasta	HT2_4_contig_7	36215	37645	ebpB	1-1431/1431	===============	0/0	100.00	99.23	vfdb	NP_814822	vfdb~~~ebpB~~~NP_814822 (ebpB) endocarditis and biofilm-associated pilus minor subunit EbpB [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/HT2-4.fasta	HT2_4_contig_7	37642	39525	ebpC	1-1878/1878	========/======	1/6	100.00	99.15	vfdb	NP_814823	vfdb~~~ebpC~~~NP_814823 (ebpC) endocarditis and biofilm-associated pilus major subunit EbpC [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/HT2-4.fasta	HT2_4_contig_7	39619	40473	srtC	1-855/855	===============	0/0	100.00	99.42	vfdb	NP_814824	vfdb~~~srtC~~~NP_814824 (srtC) sortase [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/HT2-4.fasta	HT2_4_contig_7	55711	57150	ace	1-1440/2025	===========....	0/0	71.11	97.22	vfdb	NP_814829	vfdb~~~ace~~~NP_814829 (ace) collagen adhesin protein [Ace (VF0355)] [Enterococcus faecalis V583]
