#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
data/samples/GT3-2.fasta	GT3_2_contig_1	174145	174876	fsrA	1-732/732	===============	0/0	100.00	99.04	vfdb	NP_815519	vfdb~~~fsrA~~~NP_815519 (fsrA) response regulator [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_1	174965	175693	fsrB	1-729/729	===============	0/0	100.00	98.35	vfdb	NP_815518	vfdb~~~fsrB~~~NP_815518 (fsrB) agrBfs protein [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_1	175690	177033	fsrC	1-1344/1344	===============	0/0	100.00	98.66	vfdb	NP_815517	vfdb~~~fsrC~~~NP_815517 (fsrC) histidine kinase putative [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_1	177269	178801	gelE	1-1533/1533	===============	0/0	100.00	98.83	vfdb	NP_815516	vfdb~~~gelE~~~NP_815516 (gelE) coccolysin [Gelatinase (VF0357)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_1	178850	179704	sprE	1-855/855	===============	0/0	100.00	98.25	vfdb	NP_815515	vfdb~~~sprE~~~NP_815515 (sprE) serine proteinase V8 family [SprE (VF0358)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_13	234203	235003	cpsB	1-801/801	===============	0/0	100.00	99.00	vfdb	NP_816140	vfdb~~~cpsB~~~NP_816140 (cpsB) phosphatidate cytidylyltransferase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_13	235000	235815	cpsA	1-816/816	===============	0/0	100.00	99.14	vfdb	NP_816141	vfdb~~~cpsA~~~NP_816141 (cpsA) undecaprenyl diphosphate synthase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_13	244807	248678	fss2	1-3872/4956	============...	0/0	78.13	97.06	vfdb	NP_816151	vfdb~~~fss2~~~NP_816151 (fss2) Enterococcus faecalis surface protein Fss2 fibrinogen binding protein [Fibrinogen binding protein (AI272)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_27	14866	17880	EF0818	1-3015/3015	===============	0/0	100.00	99.20	vfdb	NP_814561	vfdb~~~EF0818~~~NP_814561 (EF0818) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_27	46943	47869	efaA	1-927/927	===============	0/0	100.00	100.00	vfdb	NP_815739	vfdb~~~efaA~~~NP_815739 (efaA) endocarditis specific antigen [EfaA (VF0354)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_29	1870	5181	ebpA	1-3312/3312	===============	0/0	100.00	99.06	vfdb	NP_814821	vfdb~~~ebpA~~~NP_814821 (ebpA) endocarditis and biofilm-associated pilus tip protein EbpA [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_29	5185	6615	ebpB	1-1431/1431	===============	0/0	100.00	99.51	vfdb	NP_814822	vfdb~~~ebpB~~~NP_814822 (ebpB) endocarditis and biofilm-associated pilus minor subunit EbpB [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_29	6612	8495	ebpC	1-1878/1878	========/======	1/6	100.00	98.99	vfdb	NP_814823	vfdb~~~ebpC~~~NP_814823 (ebpC) endocarditis and biofilm-associated pilus major subunit EbpC [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_29	8589	9443	srtC	1-855/855	===============	0/0	100.00	98.95	vfdb	NP_814824	vfdb~~~srtC~~~NP_814824 (srtC) sortase [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_29	15412	16770	ace	1-1359/2025	===========....	0/0	67.11	97.28	vfdb	NP_814829	vfdb~~~ace~~~NP_814829 (ace) collagen adhesin protein [Ace (VF0355)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_29	16495	17117	ace	1366-2025/2025	......../.=====	1/37	30.77	90.30	vfdb	NP_814829	vfdb~~~ace~~~NP_814829 (ace) collagen adhesin protein [Ace (VF0355)] [Enterococcus faecalis V583]
data/samples/GT3-2.fasta	GT3_2_contig_5	58818	59828	bopD	1-1011/1011	===============	0/0	100.00	99.31	vfdb	NP_814691	vfdb~~~bopD~~~NP_814691 (bopD) sugar-binding transcriptional regulator LacI family [BopD (VF0362)] [Enterococcus faecalis V583]
